Kalimat,Label,Prediksi_NB,Prediksi_SVM,Prediksi_lstm
tuju,negatif,negatif,negatif,negatif
baju pasar klewer bagus harga jangkau,positif,positif,positif,positif
solusi,positif,positif,positif,positif
iya kasihan brand brand lokal barang bagus murah kalah barang bekas kualitas lokal tara kualitas rusak pasar brand lokal,positif,positif,positif,positif
sampai cok,negatif,positif,negatif,positif
lihat bang,positif,negatif,positif,negatif
tuju,negatif,negatif,negatif,negatif
bbm kaos gambar muka puan,negatif,negatif,negatif,negatif
puja brand,positif,positif,positif,positif
karena mataharoy dept store omsetny turun lapor jabat,negatif,negatif,negatif,negatif
imbang duit lebih beli levis sepatu nike nb import pokok improt mobil juga improt bangga main made in china,positif,negatif,positif,positif
lokal mah item,negatif,negatif,positif,negatif
mending nge thrift dana pajak saja,negatif,negatif,negatif,negatif
ganggu jabat suka erupsi ngakunya khilaf,negatif,negatif,negatif,negatif
sisi saya nikmat fashion mohon brand brand lokal sudah kenal asi naikin kuantitas naikin tahan kualitas brand lokal banyak gimmick limited edition harga goreng sampai juta juta kualitas hadeh masih kalah lokal designer brand harga hehehe begitu mumpung sudah dibantuin perintah umkm buru gerak,positif,positif,positif,positif
jaman ibu muda sudah,negatif,negatif,negatif,positif
lokal pred harga gaji umr kotane njenengan ya rodok ra ngotak nek dinggo kalang ngisor,positif,positif,positif,positif
beli brand fomo tema antah antah kualitas overpriced,positif,negatif,negatif,negatif
koruptor nu kudu basmi mah sabja,negatif,negatif,negatif,negatif
lokal brand mahal,positif,positif,positif,positif
buka lapang kerja,positif,positif,positif,positif
ganggu rakyat mending bahan pokok sembako impor,negatif,negatif,negatif,negatif
sorry abang tidak bisa jual celana carhartt cek doloo,negatif,negatif,negatif,negatif
yoo tidak tauu,negatif,negatif,negatif,negatif
sip komennya seperti suka sama produk lokal eh iya warga zaman mau bagus bagus peduli sama usaha lokal,positif,positif,positif,positif
emang sakit hati sulit hilang,negatif,negatif,negatif,negatif
lihat handuk gucci wkwk,positif,positif,positif,positif
ngobroll mingdep lagi di jalan senin wkwkkw,negatif,negatif,negatif,negatif
bakar bakaarr,negatif,negatif,negatif,negatif
maksud bang messi,positif,positif,positif,positif
as student of garment im totally tuju with this banget lokal brand bagus jangkau let support umkm perintah solusi nyata mana keluh lokal brand overprice pindah haluan thrift orang awam tidak tau betapa rugi industri usaha negeri,negatif,negatif,negatif,negatif
kena pajak,negatif,negatif,negatif,negatif
lokal mahal iya bekas celaka chuakss,negatif,positif,positif,positif
begini tertawa an ir,positif,positif,positif,positif
cina datang kerja ngeganggu tidak,negatif,negatif,negatif,negatif
salah,negatif,negatif,negatif,negatif
ganggu opone lapo terang biyen ini kamu dodolane sudah turun turun banyak kamu sing dampak anggur rajalela solusine apa,negatif,negatif,negatif,negatif
cinta produk lokal contoh sieh,positif,positif,positif,positif
import beras ganggu tani lokal,negatif,negatif,negatif,positif
nyari barang bekas ngethriff,negatif,positif,negatif,positif
cari size xl full bordir tag tag aman vintage clue juara,negatif,negatif,negatif,negatif
bukti tiktok mbak mbak outfitnya sama beli produk lokal ckckckkc,positif,positif,positif,positif
hashtag ayoo support brand lokal harga tidak tau,negatif,positif,positif,positif
ramah lingkung,positif,positif,positif,positif
harga produk lokal mahal,positif,positif,positif,positif
krisis jak chuak,negatif,negatif,negatif,negatif
pabrik garmen konveksi lokal bayar upah murah ganggu,negatif,negatif,negatif,negatif
ngethrift seru mampir,negatif,negatif,negatif,positif
noh tidak boleh trif wkwkww,negatif,negatif,negatif,negatif
ya weis bantu umkm,positif,positif,positif,positif
banget lihat orang senang,positif,positif,positif,positif
korban spal spil pa,negatif,negatif,negatif,negatif
bagaimana pakai baju rapih habis interview sama temen kantor,positif,positif,positif,positif
marketnya beda beli thrift banyak deh coba senin solusi baju layak sengsara kantong tidak mau thrift sampah emang solusi rasa susah,negatif,positif,negatif,positif
nasib beli prada,negatif,negatif,negatif,negatif
bingung sudah thriftingan saya,negatif,negatif,negatif,negatif
yahh bapakk diperhatiin anak muda sudah hasil berkat thrifting banyak banget dampak positif didapet karena thrifting,negatif,negatif,negatif,negatif
monmaap ituji outfit elit harga rakyat,positif,negatif,positif,negatif
maksud ganggu industri negeri china saya lihat marketplace china kirim langsung,positif,negatif,negatif,negatif
tetapi ganggu dompet paa,negatif,negatif,negatif,negatif
alumni poncol baju sudah mandi le,positif,positif,positif,positif
orang gaji orang rejeki,positif,positif,positif,positif
eiger saya bulan sudah luntur,negatif,negatif,negatif,negatif
cuma in tiga abang sekolah mamak jual pakai bekas ln lahan mata cahari keluarga atus ratus keluarga deh nanti bolehin jual bagaimana nasib tidak-apa-apa angkat pns,positif,negatif,negatif,negatif
ya sudah pakai kaos partai sudah,positif,positif,positif,positif
lokal murah kualitas bagus contohnha emang anak pantas pakai utama brand pakai banget cocok menang nama brand,negatif,positif,negatif,negatif
produk lokal tidak kualitas kualitas warna beda pakai trift,positif,positif,positif,positif
murah kaos lokal sekarang harga sudah tidak ada rakyat,negatif,positif,positif,negatif
produk negeri reng begitu pa,negatif,positif,positif,positif
tanya masuk indonesia ngelolosin tidak mau cari,negatif,negatif,negatif,negatif
cinta produk lokal,positif,positif,positif,positif
iya sudah berantas harga kaya baju mending beli baju lokal,positif,positif,positif,positif
lokal harga pd overprice,positif,positif,positif,positif
tidak jelas,negatif,negatif,negatif,negatif
kocak nt cicak,negatif,negatif,negatif,negatif
basi,negatif,negatif,negatif,negatif
semua semua raolehh,negatif,negatif,negatif,negatif
bgusan bju orang tua dluu,negatif,positif,negatif,negatif
suka pakai bekas import murah cuci londrey jual,positif,positif,positif,positif
bisnis bekas pacar orang menganggu,positif,positif,positif,positif
solusi,positif,positif,positif,positif
bagus murah pakk hemat keluar beli pakai,negatif,negatif,negatif,negatif
erti lokal kadang pakai kadang masuk akal kualitas harga,positif,positif,positif,positif
oi kasihan kamu orang orang nganggur gara kamu kadang nthlah coba bapak posisi,negatif,positif,negatif,negatif
brank lokal sekarang saing harga kualitas cinta produk indonesia,positif,positif,positif,positif
lokal kadang kasih angin suka ngelunjak,positif,positif,positif,positif
informasi hoodie cakar juta umat,positif,positif,positif,positif
erigo sudah dari sabang sampai merauke,negatif,negatif,negatif,negatif
belum ngethrift anjir,negatif,negatif,negatif,negatif
jual barang thrift umkm paak egois begitu percaya produk marketnya anak muda jijik pakai barang bekas aman,negatif,negatif,negatif,negatif
bebasin pakde beli lokal impor,negatif,positif,negatif,negatif
cinta thrift,positif,positif,negatif,positif
tekan produksi pakai tekan limbah pabrik pakai dilemaa,negatif,negatif,negatif,negatif
dagang thrift taat pajak uang pajak solusi bagaimana,negatif,negatif,positif,negatif
bye bye pasar baruu,negatif,positif,positif,positif
lokal brand jarang ukur plus size,positif,positif,negatif,negatif
pakai beruang petir,negatif,negatif,negatif,negatif
barang bekas contoh pulau batu official store indonesia tetapi bnwt tebar,positif,positif,negatif,negatif
tidak sawios tutup weh da seer picarioseun,negatif,negatif,negatif,negatif
sebenernya ganggu pasar saya kecewa trift harga sudah masuk akal,negatif,negatif,negatif,negatif
hadeh,negatif,negatif,negatif,negatif
suka beli baju kaos brand lokal harga an kaos polos shopee harga an keren,negatif,positif,positif,negatif
buka usaha sudah begini saja,negatif,negatif,negatif,negatif
brand lokal bagus marketingnya seperti taai sengaja limited limited mau beli tidak bagi wkwk sekarang sudah sepi nyalahin kota thrifting ktl,negatif,positif,negatif,negatif
suda tida boleh mge thrift,positif,negatif,negatif,negatif
produk lokal pride,positif,positif,positif,positif
ngethrift karenaa ngomong hehehhee takut,negatif,negatif,negatif,negatif
fix kaos partai bagus,negatif,negatif,negatif,negatif
bae weh kurut ge satu da mel tidak menta ieh,negatif,negatif,negatif,negatif
kualitas kaya kulit aka tipi banget,positif,positif,positif,positif
brand lokal bagus lihat foto profil saya brand lokal,positif,positif,negatif,negatif
hilang lokalpride produk lokal sama saja jijik,negatif,negatif,positif,negatif
kadang kadang lucu kadang kadang serius,positif,positif,positif,positif
maksud pakai baju beruang petir,positif,positif,positif,positif
suka barang thrifting crewneck luculucu,positif,positif,positif,positif
skripsi guna wkwkwkwk,positif,positif,positif,positif
ganggu produksi dalam negeri produk massal fast fashion hm zara pull bear dan lain fashion murah china shein produk import murah dari thailand jabat kerja mending tidur istirahat dunia akhirat,negatif,negatif,negatif,negatif
bingung sisi beli thrift dapet barang second kualitas oke harga miring samping support brand fashion lokal umkm brand fashion lokal sudah kreatif,positif,positif,positif,positif
ap henti,negatif,negatif,negatif,negatif
butuh solusi ttep beliin sarap bagi rokok,negatif,negatif,negatif,negatif
mang eaak nonton live thrifting,positif,positif,positif,positif
nga larang we,negatif,negatif,negatif,negatif
ramah lingkung,positif,positif,positif,positif
hormat pikir korupsi ganggu solusi bang messi anak muda kadung bisnis modal biar hasil anggur moga ketemu menang menang solution,negatif,negatif,negatif,positif
selesai brand lokal patok harga mohon maaf kualitas low desain model,positif,positif,positif,positif
bener ngimpor sampah indonesia numpuklah limbah,negatif,negatif,negatif,negatif
uniqlo baik,positif,positif,positif,positif
impor beras bagaimana rusak beras lokal,negatif,positif,positif,positif
thrift peluang usaha orang brand lokal banyak harga langit kualitas loyo,positif,positif,positif,positif
cinta trifht menang,positif,positif,negatif,positif
lokal pride lokal pride kualitas harga ngotak,positif,positif,positif,positif
haha apas,positif,negatif,negatif,negatif
rakyat suruh pakai lokal menteri jabat istri istri pamer barang mewah brand negeri hadehh,negatif,negatif,negatif,negatif
alfrdzii mahal,positif,positif,positif,positif
beli hoodie thrift bagus banget sekarang pakai,negatif,positif,negatif,negatif
barang kau lokal ancam produk negeri,negatif,positif,positif,positif
gws team thrifting cpp,positif,negatif,negatif,negatif
bagaimana support brand lokal harga sudah masuk akal,positif,positif,positif,positif
beli baju beruang petir mending thrift,negatif,negatif,negatif,negatif
ramai numpang buka lapak ahh,negatif,negatif,negatif,negatif
orang duit beli produk lokal harga ngotak tetapi kualitas masih bawah standar pasar barang thrift sudah tetap distro minat dagang thrift tetap minat rugi tetap inti bang messi yak betul duit bayar pajak bea cukai legal nanti uang hehedonan anak istri jabat,positif,negatif,positif,negatif
ya kelpin asli sama ngomong thriftingan,positif,positif,positif,positif
beli or baju uniqlo sudah nang kaya mah ekonomi klas tengah pakai kostan wkwk beli baju bekas ahahah,positif,positif,positif,positif
bos,positif,negatif,negatif,negatif
yahh bagaimana min waduu tidak bisa beli cn harga murah kualitas terbaekk thrift,positif,positif,negatif,positif
tuju,negatif,negatif,negatif,negatif
thrift vintage dan lain saya dapet pasu makan hari sudah alhamdulillah sekarang bootleg expor negeri at least harga karya seni mah baju beruang petir gaes,positif,negatif,positif,positif
ning kaos heavy cotton mah,negatif,negatif,negatif,negatif
pabrik produksi daster lokal bagus eh pabrik bos,positif,negatif,negatif,negatif
oke batas sampah pakai bekas dari negara orang not completely banned locally sourced thrifted clothes,negatif,negatif,negatif,negatif
jokowi tidak tau dapet sepatu idam branded harga miring,negatif,negatif,negatif,negatif
bener banget,positif,positif,positif,positif
lagi di jalan borong kaos beruang petir,negatif,negatif,negatif,negatif
dari bisnis thrift bnyak pemuda mula usaha modal uang pemuda bisa lebih mapan unpredictable cuan tetapi susah lawan undang mah,negatif,negatif,negatif,negatif
lagi di jalan cari kaos banteng,negatif,negatif,negatif,negatif
hoodie thrift kakak silah,positif,positif,positif,positif
terus gmana masak nongkrong pakai kaos partai brand lokal mahal,negatif,positif,negatif,negatif
yaa orang kualitas bagus harga murah mah kualitas gembel harga mahal,positif,positif,positif,positif
bagaimana tanggap oreng konten taik awulawul ilegal ladang mafia bisabisanya diup nominal harga over wkwkw yaa majikan dongg makan jatah lebih besok strategi silent market minimal market vulgar tidak alay wkwk,negatif,positif,negatif,negatif
pakai beruang petir,negatif,negatif,negatif,negatif
sudah bener pakai baju partai baju lokal support umkm ngomong ngomong cek feed yaa,positif,positif,positif,positif
pajak,negatif,negatif,negatif,negatif
kabar zara stradivarius dan lain ini saing brand lokal pajak pikir umkm,negatif,negatif,negatif,negatif
informasi tenonet goretex summit series,negatif,negatif,positif,positif
cinta karena produk indonesia opini haha,positif,positif,positif,positif
laku tangkap orang tua sudah sayang,negatif,negatif,negatif,negatif
pantas ayah ku saban pakai kaos partai terus,negatif,negatif,negatif,negatif
urus pusingin koruptor noh urus ngomong mulu,positif,negatif,negatif,negatif
impor barang bekas ilegal,positif,negatif,negatif,negatif
jual dalam negeri laku jual rupiah nilai rakyat,positif,positif,positif,positif
lokal mahall duit saya wkwkw,negatif,negatif,negatif,negatif
lokal gentar,negatif,negatif,negatif,negatif
tangkap,negatif,negatif,negatif,negatif
cinta ploduk ploduk endonesia,positif,positif,positif,negatif
asik,positif,positif,positif,positif
saing keluh sdm minim lunulis pulpen cina barang rumah cina ko sok an lokal pride pakai batik kondangan saja berfikirnya pakai batik habis kondangan saja,negatif,negatif,negatif,negatif
gengsi cm modal,positif,positif,positif,positif
jaman awul awul cakar bongkar itu begini begini,negatif,negatif,negatif,negatif
solusi,positif,positif,positif,positif
produk harus lokal tetapi harga malah,positif,positif,positif,positif
senin jaya blok jakarta apakabs,positif,positif,positif,positif
nanti bener menganggu ganggu der begitu deh,negatif,negatif,negatif,negatif
produk mahal,positif,positif,positif,positif
sebenernya segmen suka suka beli juga melulu beli thriftingan,negatif,negatif,negatif,negatif
awokawokawok sudah tebak komennya,positif,positif,positif,positif
tanda tanda giveaway kaos partai kah,negatif,negatif,negatif,negatif
pinjol ganggu indonesia,negatif,negatif,negatif,negatif
beli baju mall harga bulan makan,positif,positif,positif,positif
solusi wkwk,positif,positif,positif,positif
hoodie crewneck kaos kak silakann,negatif,negatif,negatif,negatif
beras impor ganggu produksi beras negeri,negatif,negatif,negatif,negatif
bubarin tidak apa solusi ganti krena thrift sudah bisnis,negatif,positif,positif,positif
pindah negara aman,negatif,negatif,negatif,positif
nindas mulu,positif,negatif,negatif,negatif
solusi join lipe sekarang ges,positif,positif,positif,positif
sholat,positif,negatif,negatif,negatif
but love thriftt,positif,negatif,negatif,negatif
muhun wios abi nu lepat mah,positif,positif,positif,negatif
brand lokal kadang hoki an merk jenis kaos harga beda beli sudah beda kainya,negatif,positif,negatif,negatif
solusi toko oren baju beruang petir gratis ongkir,positif,negatif,positif,positif
tuju,negatif,negatif,negatif,negatif
aelah beli pakai duit sendiri pakai duit negara emang bener pakai kaos partai,negatif,negatif,negatif,negatif
resah emang bingung baju impor bekas jelek jelek laku mana cuma tambah nambahin sampah indonesia sisi baju bekas juga tarik,negatif,negatif,negatif,positif
saya banget dikomentarin wid baju saya saya pakai baju tuju ikut trend,negatif,negatif,negatif,negatif
ngapain pusing pusing pikir baju bekas korupsi rugi negara kelar,negatif,negatif,negatif,negatif
pokok banyak impor impor ganggu,negatif,negatif,negatif,negatif
banget bandingin harga bekas trift produk lokal mahal barang sanding bekas triftingan swbelum bekas baru mahal kali,positif,positif,positif,positif
ra ikut po,negatif,negatif,negatif,negatif
sad banget lurr,negatif,negatif,negatif,negatif
lestari brand lokal broo,positif,positif,positif,positif
mohon bantu informasi loker,negatif,negatif,negatif,negatif
koruptor ganggu uang negeri,negatif,negatif,negatif,negatif
budaya thrifting po bangkok china seliwer banget kaya negara lain,negatif,negatif,negatif,positif
tenaga kerja impor kayak ganggu,negatif,negatif,negatif,negatif
lokal dibagusin cari beda ganggu nama industri saing kl tidak mau saing bobo rumah,negatif,negatif,negatif,negatif
industri dalem negeri harga langit,positif,positif,positif,positif
bye thrifting,negatif,positif,positif,positif
tidak beli soale,negatif,negatif,negatif,negatif
mahal beli murah,positif,positif,positif,positif
informasi loker pakde joko,negatif,positif,negatif,positif
bodoh pakai juang thrift lunayan dapat essentials stone island harga miring asli beli sanggup thrift yaa beli thrift solusi thrift ngedhidupin style sekarang kiblat lihat brand lokal nyontek trend thrift contoh kecil jaket nascar baju vintage,positif,positif,positif,negatif
nyari makan nyukupin keluarga bisnis baju bekas tidak kaya enggak nyambung hidup,negatif,negatif,negatif,negatif
tuju tuju bijak ttg surat izin pakai bekas loak dagang umkm ekonomi indonesia hambat,negatif,negatif,negatif,positif
thrift rugi rakyat,negatif,negatif,negatif,negatif
masak impor beras jor an ganggu tani lokal tidak,negatif,negatif,negatif,negatif
menggangu tekstil negeri mahal kualitas rendah impor minta stop testil negeri harga fakta tekan tombol love like komentar tekan kali komentar,negatif,positif,positif,negatif
ayo cinta produk lokal contohna cinta,positif,positif,positif,positif
support produk umkm dipungkiri kadang butuhin dptnya jual barang bekas,positif,positif,positif,positif
teh tawar campur jeruk nipis pagi asam lambung sakit tipes kurus,negatif,negatif,negatif,negatif
bener beli id kaka,positif,positif,positif,positif
negeri harga kaya negeri kualitas kaya harga dapet,positif,positif,positif,positif
jual beli mobil motor bekas bagaimana ganggu industri,negatif,negatif,negatif,negatif
tutup paso kodim lame,negatif,negatif,negatif,negatif
bagaimana rejeki sudah atur takut saing chuaks,positif,positif,positif,positif
jejou ancam wkw,negatif,negatif,negatif,negatif
sayang banget indonesia produksi handphone lokal coba produksi thrift iphone inter basmi ciakakaakakaa basmi ilegal rugi cuma bidang bidang usaha rugi negara usaha bal setor oknum baju cokelat ciakakkakakakakakaa,negatif,negatif,negatif,negatif
menggangu beras gula gandum daging sapi kedelai impor impor cuakkxxs,negatif,negatif,negatif,negatif
support lokal,positif,positif,positif,positif
tripting kh belelihat saja kd nukar,negatif,negatif,negatif,negatif
orang negeri indonesia hambat orang indonesia negeri,negatif,positif,positif,negatif
teori kaos partai kah,negatif,negatif,negatif,negatif
capek komentar kasih aspirasi baca admin folkative perintah langsung,positif,negatif,positif,negatif
aduh nasib cimiol gimanah,negatif,negatif,negatif,negatif
iklan baju partai,positif,positif,positif,positif
begitu kali tuju hhfft,negatif,negatif,negatif,negatif
kirim twitter kak meme,positif,negatif,negatif,negatif
produk lokal bagus kokk,positif,positif,positif,positif
tidack tuju,negatif,negatif,negatif,negatif
maaf thrifting goda sensasi itulo sungguh bangga barang bagus tawar anjlok banget,negatif,positif,negatif,negatif
bisnis thrift untung kor juta gek kui halal bisnis pegawai uang bisa trilyunan bisa untuk beli harly plus rubicon mending sampean ngurusi kui sek luweh timbang ngurusi barang thrif,positif,negatif,positif,positif
aduh pola pikir kena,negatif,negatif,negatif,negatif
solusi kah deh ratus ribu orang jadi thrift ladang rezeki,positif,positif,negatif,positif
thrift selamat bumi sampah,positif,positif,positif,positif
dewasa dewasa seperti,positif,negatif,negatif,negatif
solusi tawar bisnis baju bekas sudah jaman banget weii noh pasar senin sudah lamaa banget ganggu umkm tidak bentuk tipe barang jual beda jenis bisnis kurang sampah polusi fast fashion coba research paham sengsara polusi sumbang bumi fast fashion business nyenggolnya macem zara pull bear dan kawan,negatif,positif,positif,positif
ni cinta long,positif,positif,positif,positif
trend baju blackpink wkwk,positif,positif,positif,positif
yahh bagaimana suka barang trifting murah mahal bagus akuu,positif,positif,positif,positif
afa iya impor beras dan lain bagaimana ganggu produksi dalem negeri,negatif,negatif,negatif,negatif
harga mahal cuk pakai lokal kui apa lagi bahan letoy gampang suek yen thirf brand bahan apik harga murah,negatif,positif,negatif,negatif
emang bener pakai kaos partai,negatif,negatif,negatif,negatif
sampah bekas usut impor sampah bekas,negatif,negatif,negatif,negatif
solusi berang petirr,negatif,positif,positif,positif
borong jaket vtg second pcs bonus nike dunk,positif,positif,positif,positif
rip thrift,negatif,negatif,negatif,negatif
lokal bagus ygy,negatif,positif,negatif,negatif
habis bahan lucu piss,negatif,negatif,negatif,positif
brand lokal bagus beruang petir contoh,negatif,negatif,negatif,negatif
reseller monggo ladang hektar aceh panen salam umkm suport lokal,negatif,positif,positif,negatif
hese atuh ai kieu mah,negatif,positif,positif,negatif
solusi beli serba,positif,positif,positif,positif
maaf pakai cakar tunjang fashion jaman kuliah,negatif,negatif,negatif,negatif
jual thrift solusi jabat terus korupsi,negatif,negatif,negatif,negatif
minimal maaf kai ganggu,negatif,negatif,negatif,negatif
sudah menggangu industri negeri izin masuk kasih,negatif,negatif,negatif,negatif
solusi pakai baju saudara,positif,positif,positif,positif
bagaimana nihh,negatif,negatif,negatif,negatif
lebaran saya pakai kaos pdip sudah,negatif,negatif,negatif,negatif
serah jang mulia,negatif,negatif,negatif,negatif
sotoy,negatif,negatif,negatif,positif
maaf kali saya tuju,negatif,negatif,negatif,negatif
baju bekas harga sudah tara baju lokal sudah rb buseh bohong bekas ketek orang,positif,positif,positif,positif
ya sudah pakai kaos banteng,negatif,negatif,positif,negatif
tutup masuk impor baju bekas begitu repot,negatif,negatif,negatif,negatif
tertawa,positif,positif,positif,positif
lagi,negatif,negatif,negatif,negatif
apasih riweh jabat habis,negatif,negatif,negatif,negatif
beras kedelai garam ganggu,negatif,negatif,negatif,negatif
thriftnya kaos pdi tidak boleh,negatif,negatif,negatif,negatif
telat,negatif,negatif,negatif,negatif
banteng,negatif,negatif,negatif,negatif
ramai nanti lanjut part,negatif,negatif,negatif,negatif
brand hayoo adu backingan nyaa,negatif,negatif,negatif,negatif
serius tanya brand unqlo menggangu industri negeri,negatif,negatif,negatif,negatif
bagaimana rakyat indonesia gengsi besar produk lokal bagus beli limbah ln,positif,positif,positif,positif
tapi suka baju baju bagaimana,positif,positif,positif,positif
pakai produk negeri kualitas hmm,positif,positif,positif,positif
ketar tir,negatif,negatif,negatif,negatif
senang thrifting ngirit kualitas banding dengan harga second,positif,positif,positif,positif
blang dipajakin usa malu,negatif,negatif,negatif,negatif
presiden jual tidak salah sumber hasil,negatif,negatif,negatif,negatif
minat harga murah,positif,positif,positif,positif
brand rusak pasar kah,negatif,negatif,negatif,negatif
antem dikomen,negatif,negatif,negatif,negatif
bagaimana baik saja deh percaya,positif,positif,negatif,negatif
support umkm harga kualitas beda support umkm coba kualitas nomor untung coba produksi massal kasihan pakai jarak meter sudah wkwkwkw kocak,positif,positif,positif,positif
saya baik kualitas sudah industri dalam negeri ganggu,positif,positif,negatif,positif
tempat pasar barang bagus harga miring coba tidak mau beli lain sisi suport produk lokal butuh solusi,negatif,positif,negatif,positif
harga lokal wajar gaji saja wajar,negatif,positif,positif,positif
mending jadiin pasar amal,positif,negatif,negatif,negatif
usaha,negatif,negatif,negatif,negatif
tumbaske workshirt hellcrust apik pol sumpah tulonglah,negatif,negatif,negatif,negatif
awas pajak naik,negatif,negatif,negatif,negatif
beri atur bener,positif,positif,positif,positif
salah keti juga ganggu,negatif,negatif,negatif,negatif
allah thrift jalan ninja padahal,positif,negatif,negatif,negatif
pajak,negatif,negatif,negatif,negatif
banteng merah jaya jaya jaya,positif,negatif,positif,positif
solusi bagaimana paak,positif,positif,positif,positif
gapapaa bekas ge tidak pakai baju beruang petir,negatif,negatif,negatif,negatif
ingfokan baju beruang petir,negatif,negatif,negatif,positif
kaos partai,negatif,negatif,negatif,negatif
semangat nyaa,positif,positif,positif,positif
mampir ah ramai beli,negatif,negatif,negatif,negatif
tuju hehew,negatif,negatif,negatif,negatif
bagaimana support brand lokal produksi limited habis harga ngotak,positif,positif,positif,positif
aelah beli pakai duit sendiri pakai duit negara emang bener pakai kaos partai,negatif,negatif,negatif,negatif
batam thrift uniqlo hnm zara cuma an,negatif,negatif,negatif,negatif
ampun,negatif,negatif,negatif,negatif
sebenernya ganggu rusak pasar umkm ekonomi baja kwan thrift bayangin sudah brand lokal eh bajak gilir bgitu urus perintah sudah segmentnya,negatif,negatif,negatif,negatif
nnti beli produk lokal murah tapi kau diledekin mending babebo,positif,positif,positif,positif
tukang parkir ganggu,negatif,negatif,negatif,negatif
bagus murah saya beli mandang baju impor kah baju ekspor kah baju kompor kah selagi murah bagus saya beli wkwk,negatif,positif,negatif,negatif
beli brand lokal harga kaya inter,positif,positif,positif,positif
solusi pakai kaos partai,negatif,negatif,negatif,negatif
cinta produk erigo,positif,positif,positif,positif
bagaimana rakyat tidak demen ngethrif orang baju lokal harga langit kocak bisa protes saja beri solusi tidak,negatif,positif,negatif,negatif
bener,positif,positif,positif,positif
