,username,comment,Pre-processing,label_sentimen,score,sentimen_numerik
14,gumilangwastuwidya,"Kalau menurutku ini cuma isu buat benturin antara masyarakat... Padahal kalau mau dikritisi justru lawan UMKM itu brand-brand luar negeri bukan Thrift... Sama-sama baru dan sama kualitasnya... Sedang thrift punya pasarnya sendiri karrna jelas kebiasaan reuse dan recyclr begini ya konsekuensi dari dosa fast fashion... Regulasi untuk membuat UMKM bersaing dengan brand fashion luar aja belum menguntungkan UMKM malah skg dibikin isu UMKM lawan Thrift... Yang mesti dikritisi juga adalah regulasi masuknya barang thrift yang selama ini kaya 'buang sampah'... Dan yang paling lucu masalah global perihal sampah fashion bukan tentang thriftnya tapi bagaimana industri fast fashion global yang bikin bajunya di Indonesia lalu dijual ke global lalu sampahnya dibuang di Indonesia lagi... Dan kita kudu dibenturkan dengan isu Thrift vs UMKM yang mana dua-duanya 'musuh' brand luar negeri... Bukankah ini semacam adu domba antara masyarakat penyuka UMKM dan masyarakat penyuka Thrift doang? Problem makernya bersembunyi dan kita tetap di adu domba, yang untung siapa? Ya Kapitalis... 😂",turut isu benturin masyarakat kritisi lawan umkm brand brand negeri thrift kualitas thrift pasar karrna biasa reuse recyclr konsekuensi dosa fast fashion regulasi umkm saing brand fashion untung umkm skg bikin isu umkm lawan thrift mesti kritisi regulasi masuk barang thrift kaya buang sampah lucu global perihal sampah fashion thriftnya industri fast fashion global baju indonesia jual global sampah buang indonesia kudu bentur isu thrift vs umkm dua musuh brand negeri adu domba masyarakat suka umkm masyarakat suka thrift saja problem makernya sembunyi adu domba untung kapitalis,negatif,-0.007099999999999995,0
15,cars.outsides,tapi thrift ga merugikan rakyat,thrift rugi rakyat,negatif,-0.7906,0
16,uswoosh.id,"Bukannya produksi brand kaya zara,H&M, Uniqlo gitu lebih merugikan ya? liat aja mahasiswa sekarang yang notabene nya salah satu target pasar industri fashion kebanyakan pasti pakai fashion brand mereka , alasannya apa? ya karna biaya produksi brand lokal di indo masih gasebanding sama kualitas brand fast fashion luar dengan harga yang sama, please think on a bigger scale, emang semisal thrift dihapus brand lokal bakal lebih naik? ato jangan jangan ntar lebih banyak yang co hoodie h&m 100rb an di shopee 😌, tapi apalah dayaku yang mau ditutup",produksi brand kaya zara uniqlo begitu rugi lihat mahasiswa notabene salah target pasar industri fashion banyak pakai fashion brand alas karena biaya produksi brand lokal indonesia gasebanding kualitas brand fast fashion harga mohon think on bigger scale emang thrift hapus brand lokal ato nanti cowok hoodie rb an shopee apa daya tutup,negatif,-0.016199999999999992,0
17,whiz.officialstore_tlg,Apakabar yg import beras ???? Apakah itu memperdulikan kesejahteraan para petani lokal ?,apakabar import beras duli sejahtera tani lokal,positif,0.2277999999999999,1
18,arif.lau,"Itu karena konsumen Indonesia banyak dari kelas menengah dan kebawah mempunyai keinginan mempunyai pakai kualitas baik, brand bagus tapi harga kaki lima, kebutuhan ini akan sulit di produksi oleh pabrik tekstil local, akhirnya mayarakat memilih barang bekas luar negeri, bermerek, second dan bahan berkualitas. Sayang nya pemerintah tidak bisa menciptakan ekosistem seperti ini.",konsumen indonesia kelas tengah bawah pakai kualitas brand bagus harga kaki butuh sulit produksi pabrik tekstil lokal mayarakat pilih barang bekas negeri merek second bahan kualitas sayang perintah cipta ekosistem,negatif,-0.0011999999999999789,0
19,r.rizqiie,"Yaa orang kualitas bagus, harganya murah. Lah disini mah kualitas gembel juga harganya mahal",yaa orang kualitas bagus harga murah mah kualitas gembel harga mahal,positif,0.03859999999999997,1
20,adrialbadri,mau beli lokal tapi brand lokal kebanyakan modelnya gitu-gitu aja :(,beli lokal brand lokal banyak model begitu begitu,positif,0.059900000000000064,1
22,anisakaysta,Kenapa sih konsennya ke BEKAS yang MENGGANGGU ? Kenapa yang BRANDED harga selangit itu gak diliat ? Itu mengancam UMKM juga lho. Coba artis2 dan horaaang kayaaa indonesia jangan pake yang branded. Pake LOKAL AJA.,konsennya bekas ganggu branded harga langit lihat ancam umkm lho coba artis horaang kayaa indonesia pakai branded pakai lokal,positif,0.0121,1
23,ameliarbi,"Barang thrift 30ribu udah bagusss bgt bahannya, barang lokal yg harganya 30ribu bahannya kayak kain perasan santan pak🙃",barang thrift ribu sudah baguss banget bahan barang lokal harga ribu bahan seperti kain asa santan,negatif,-0.010700000000000043,0
25,taryshathalia_,"Skrg apa pak jokowi bisa bantu kita dpt pekerjaan setelah tempat kerja kita ditutup karna usaha thrifting? Karyawan bos saya sudah banyak pak. Kalo bapak bertindak seperti ini bukan jadi solusi yg baik tapi menjadi masalah baru yaitu meningkatnya pengangguran di Indonesia. Sedangkan apakah umkm membuka lapangan kerja untuk kita? Rezek sudah diatur sama Allah pak, percaya dan yakin semua gaakan pernah tertukar. Sedih saya gabisa kerja lagi karna bos saya udah diamankan dan 65 bal sudah diamankan juga:(",sekarang jokowi bantu dapat kerja kerja tutup karena usaha thrifting karyawan bos tindak solusi tingkat anggur indonesia umkm buka lapang kerja rezek atur allah percaya tidak akan tukar sedih tidak bisa kerja karena bos sudah aman bal aman,negatif,-9.999999999998899e-05,0
26,tariptrreal,"PAKK SSSSTT DIEM AHH.. BAPAK PENGUSAHA PRESIDEN PULA, ANAKNYA KONTEN KREATOR PENGUSAHA, BELI BARU BISA.. LAH KITAA YG DAGANG GORENGAN MAU BELI ADIDAS BARU MAH MIKIR, YA NYARINYA SECOND BRAND.. JGN BIKIN SAYA NYESEL NYOBLOS BAPAK DEH",pakk sstt diem ahh usaha presiden anak konten kreator usaha beli kitaa dagang goreng beli adidas mah berfikir nyarinya second brand sesal nyoblos deh,negatif,-0.03069999999999995,0
27,tsanyyangtadi,"Ini yang berantem di komen saling menutup rezeki... Bro tukang cuangki di pusdai aja dagang sebelah sebelahan bersama tukang cuangki lainya aman aman aja semua punya pasarnya masing masing jadi kalo menurut gw ini masalah ga relate sama ""nutup rejeki"" karena rejeki bakal selalu ada jalan nya sendiri gada yg bisa halangin... Ini yg jadi masalah kayanya thrift ga bayar pajak, ya emang males bayar soalnya takut duit gw dibeliin rubicon chuaaksss.. :)",antem komen tutup rezeki bro tukang cuangki pusdai dagang belah belah tukang cuangki lain aman aman pasar saya relate nutup rejeki rejeki jalan tidak ada halangin kaya thrift bayar pajak emang malas bayar takut duit saya dibeliin rubicon chuaakss,negatif,-0.016000000000000014,0
28,rald7ind,"sekalian aja larang brand sepatu nike, adidas, new balance, sketcher, Reebok dll, karna menganggu penjualan brand sepatu lokal, gua yakin pemerintah ga bakal berani nyenggol mereka, setorannya kenceng",larang brand sepatu nike adidas new balance sketcher reebok dan lain karena menganggu jual brand sepatu lokal saya perintah berani nyenggol setor cepat,negatif,-0.03939999999999999,0
29,biasadipanggilrejak,helo pak mending fokus audit di kemenkeu aja dulu ya atau peningkatan kualitas sdm sektor bumn daripada hal begini yg sebenernya ngebantu buat alternatif fast fashion yg ga sustain. kalopun kita genjot produksi dan konsumsi pakaian baru dalam negeri ttp aja ga mecahin masalah bahan sandang yang mungkin akhirnya jadi sekedar masalah baru dan yaa … isi sendiri 🫡,helo mending fokus audit menteri uang tingkat kualitas sdm sektor bumn sebenernya ngebantu alternatif fast fashion sustain kalo genjot produksi konsumsi pakai negeri ttp mecahin bahan sandang dar yaa isi,negatif,-0.00539999999999996,0
30,takersodo,"Tingkatkan Kualitas ❎
Salahkan Pesaing ✅",tingkat kualitas salah saing,positif,0.07219999999999993,1
33,cindywlng,Tapi thrifthing membantu masyarakat bawah untuk bangkit ekonominya 🥹 gak semua thrifting itu barang dari luar kok. Pleaseee urusin dulu mereka2 yg suka makan uang rakyat 😭,thrifthing bantu masyarakat bangkit ekonomi thrifting barang pleasee urusin suka makan uang rakyat,negatif,-0.013900000000000023,0
34,faizulhamdanyy,bau bau baju partai bakal naik daun nich😍,bau bau baju partai daun nich,negatif,-0.4413,0
35,kirakhairu,"New world has different, local or thrift have a market level, just compete, level up your business, grow with your own way!",new dunia has different lokal or thrift have market level just compete level up your business grow with your own way,negatif,-0.20879999999999999,0
36,rifkitihum,"Sangat setuju kalo thrift merusak pasar fashion indie, jadi sekalian aja pak mall2 di bebasin dari brand luar, biar diisi sama brand2 dalam negri aja @jokowi",tuju thrift rusak pasar fashion indie mall bebasin brand isi brand negeri,negatif,-0.05830000000000002,0
37,rosalsurbakti,"Miskin kan rakyat, perkaya pejabat! 🤣kalau persaingan di Indonesia udh bersih dan bebas dr KKN mungkin keputusan ini bisa ditindaklanjutin pak,  di lapangan banyak issue dr pejabat2 dibidang pengendalian surplus dan defisit pendapatan negara aja blm ada ketegasan, ini malah mau ngerecokin yg ga punya power yg hidupnya cuma bergantung dr usaha thrift yg hari2 berharap bhwa pemerintah setidaknya memikirkan bagaimana mereka bisa hidup kedepannya.",miskin rakyat kaya jabat saing indonesia sudah bersih bebas dari kkn putus ditindaklanjutin lapang issue dari jabat bidang kendali surplus defisit dapat negara belum tegas ngerecokin power hidup gantung dari usaha thrift harap bhwa perintah pikir hidup depan,negatif,-0.012900000000000023,0
38,staccato750,"Aku beli jaket produk indonesia harga 400k bahan parasut tipis. Sebulan kemudian gue beli thrifting dengan harga 100k, bahan dan model bagus bgt, brand luar negeri pula. Jadi gimana ya pak 😌 sebagai warga negara yg perhitungan kayaknya masih pikir2 juga",beli jaket produk indonesia harga bahan parasut tipis bulan saya beli thrifting harga bahan model bagus banget brand negeri bagaimana warga negara hitung kayak pikir,negatif,-0.0047999999999999154,0
39,hopefulcatalogue,Hoodie thrift nya kak silahkan 😁❤,hoodie thrift kak silah,positif,0.6124,1
40,oohasan_,kalau yang sampe jual pulau gimana pak?,sampai jual pulau bagaimana,negatif,-0.10599999999999998,0
41,warisan_apak,"Untung aja bapak ini menjabat tinggal 11bulan.😂 padahal dulu saya pro bgt sama bapak, tapi makin kesini makin terlihat jelas mulai kontra, sorry sir.👏🙌",untung jabat tinggal pro banget kesini kontra sorry sir,negatif,-0.08340000000000003,0
42,claudiaherlinaa,Loh gimana sih.. katanya Rejeki udh ada yg atur. Jangan takut bersaing. Chuaks 🙏,bagaimana rejeki sudah atur takut saing chuaks,positif,0.019199999999999995,1
43,rivalfauzannn,jadi solusi nya apa pak? stetment kok gaada solusi nya,solusi stetment tidak ada solusi,positif,0.032399999999999984,1
44,_indraaprtmaaa_,"kalo cina yg dateng terus kerja di sini ngeganggu ngga, pak?",cina datang kerja ngeganggu tidak,negatif,-0.4598,0
45,akhusainirizqi,"Saran aja sih perbaiki dalem dulu baru ngoreksi luar, kaos di koment beras di import sedangkan beras dari indo yang bagus malah di eksport.... Gimana gimana ???",saran baik dalem ngoreksi kaos koment beras import beras indonesia bagus eksport bagaimana bagaimana,negatif,-0.04520000000000002,0
46,gulfose_food,yg mengganggu produksi dlm negeri itu.. produk massal fast fashion pak.. seperti HM Zara Pull n Bear dll belum lagi fashion murah China SHEIN  atau produk import murah dri Thailand... Bapak2 Pejabat kalau gak ada kerjaan mending Tidur istirahat Dunia Akhirat 🙏👍,ganggu produksi dalam negeri produk massal fast fashion hm zara pull bear dan lain fashion murah china shein produk import murah dari thailand jabat kerja mending tidur istirahat dunia akhirat,negatif,-0.0024000000000000687,0
47,morph.stuff,ada yang tau solusi mengobati mata minus?,solusi obat mata minus,negatif,-0.28769999999999996,0
48,supernale_,"Kalau barang FAKE gimana ya?? Seperti ZR, LVTONG, GCCI dll... 🥹",barang fake bagaimana zr lvtong gcci dan lain,negatif,-0.7184,0
49,benkriswana,Baju cakar,baju cakar,positif,0.4588,1
50,anisacyni,"@umma_chi27 maaf pak, pakaian cakar sangat menunjang fashion kami jaman kuliah 😂",maaf pakai cakar tunjang fashion jaman kuliah,negatif,-0.03480000000000005,0
51,hagd.idd,Ada solusi kah pak deh??? Ada berapa ratus ribu orang yang menjadikan thrift ladang rezeki mereka?,solusi kah deh ratus ribu orang jadi thrift ladang rezeki,positif,0.03480000000000005,1
52,abdurrahmaanthalif,"@aigalakr ini pak pelakunya,tangkep aja orang tuanya udah ga sayang @dylnrs_",laku tangkap orang tua sudah sayang,negatif,-0.11150000000000004,0
53,ardiiaaans_,"pakaian bekas ada penyakit/virus, pernah ada beritanya emang kalo ada yang kena penyakit? gua aja aman aman aja kalo beli thrift asalkan dicuci dulu yang bersih.",pakai bekas sakit virus berita emang kena sakit saya aman aman beli thrift cuci bersih,negatif,-0.14890000000000003,0
54,guerinduu,"Coba yg industri lokalan sadar diri. Tingkatkan kualitasnya. Masa gw pernah beli kaos harga 100an bahannya jelek bgt, sementara pernah nyoba beli barang thrift 100k paling murah bisa dapet 3 bahannya bagus lagi. Sejauh ini, bukannya membenci barang lokal, hanya saja untuk kaos dan celana, masih blm nemu brand yg oke. Untuk sepatu sendiri, lokal yg oke baru cuma Nah Project doang menurutku. Harga bersahabat, kualitas tinggi.",coba industri lokal sadar tingkat kualitas saya beli kaos harga an bahan jelek banget nyoba beli barang thrift murah dapet bahan bagus benci barang lokal kaos celana belum temu brand oke sepatu lokal oke project saja turut harga sahabat kualitas,negatif,-0.00029999999999996696,0
55,dialogsenja_,"pertanyaannya, kok bisa masuk ke indo itu yang ngelolosin siapa pak? gamau dicari tau dulu itu?",tanya masuk indonesia ngelolosin tidak mau cari,negatif,-0.08879999999999999,0
56,mega_salsabillah,Ada baju gratis tapi ngasinya dilempar 🫣,baju gratis ngasinya lempar,positif,0.8402,1
58,adityabnugraha,Lah dulu beras impor juga ganggu produksi beras dalam negri loh pak 😂,beras impor ganggu produksi beras negeri,negatif,-0.7184,0
59,muhamaddyahya,Kayaknya lebih ke mengganggu pemasukan pajak sih,kayak ganggu pasu pajak,negatif,-0.9325,0
60,aaanjr,Kalo itu bisnis para pejabat mungkin gakan ganggu ya pak ?😂,bisnis jabat gakan ganggu,negatif,-0.26259999999999994,0
61,goodoutfitid,tanda tanda ada giveaway kaos partai kah?,tanda tanda giveaway kaos partai kah,negatif,-0.9001,0
62,historiesbuyost.id,INDONESIA MENDUKUNG PENGANGGURAN SEMAKIN BANYAK❤️AKU CINTA INDONESIA❤️,indonesia dukung anggur cinta indonesia,positif,0.08440000000000003,1
63,naufal_antono,Yang menggangu itu yg pake uang pajak rakyat buat foyah2 pinterr,menggangu pakai uang pajak rakyat foyah pinterr,negatif,-0.6124,0
64,rizalmuhqqq,"ga, gue lebih suka thrift🙏🏻",saya suka thrift,negatif,-0.10599999999999998,0
65,randychriss1,Buy used clothes for 20k or buy new clothes with exact quality for 200k? Hmmmmmmmm,buy used clothes untuk or buy new clothes with exact kualitas untuk hmm,positif,0.7184,1
66,estuindahr,"ga semua orang mampu beli brand"" mahal solusinya lewat trifhting tujuanya untuk memuaskan diri mereka sendiri, emg kenapa si",orang beli brand mahal solusi trifhting tujuanya muas emang,positif,0.3308,1
67,suprikkk,Emang bapak pikir impor pekerja dari luar negri tidak mengganggu pekerja dalam negri.,emang pikir impor kerja negeri ganggu kerja negeri,negatif,-0.04959999999999998,0
68,_camatcha,ywda pake baju partai aj deh klo gitu,ywda pakai baju partai saja deh begitu,negatif,-0.15360000000000007,0
69,fachri.ch__,"Produk dalam negri, uda mahal ga sesuai kualitas pula",produk negeri sudah mahal sesuai kualitas,positif,0.505,1
72,mfqri,"Sorry abangku,gabisa kita baru jualan. Yang mau CELANA CARHARTT BOLEH DONG DI CEK DOLOO",sorry abang tidak bisa jual celana carhartt cek doloo,negatif,-0.7084,0
73,damwinkel,Korupsi sih yg menganggu industri dalam negeri…,korupsi menganggu industri negeri,negatif,-0.7184,0
74,rachmadajin,"ganggu opone se,lapo ga ket biyen? iki lo dodolane wes turun temurun. bakalan akeh lo sing terdampak,pengangguran merajalela. solusine opo?",ganggu opone lapo terang biyen ini kamu dodolane sudah turun turun banyak kamu sing dampak anggur rajalela solusine apa,negatif,-0.022400000000000087,0
76,faaaaaaaani_,"tapi bagus"" dan murah pakkk, saya jadi bisa hemat pengeluaran buat beli pakaian 🙃",bagus murah pakk hemat keluar beli pakai,negatif,-0.02499999999999991,0
77,senna_ekha,seng mengganggu ki seng gawe produk kawe,seng ganggu ki seng gawe produk kawe,negatif,-0.10599999999999998,0
78,fareljuniorr_,udah paling bener solat tepat waktu,sudah bener salat,positif,0.3308,1
79,haristujuh,kalo ini kita dukung pak,dukung,positif,0.7184,1
80,___putryamelya03,"Baju bekas udah ada dari jaman nenek moyang nih yah. Terus juga pakaian itu termasuk sampah terbesar di dunia. jadi dgn ada nya trifthing ini sama aja dengan mengurangi sampah dunia. Dan konsumen indo bnyk dari kalangan menengah/kebawah mereka juga mau pake pakaian yg bagus ada brand nya dgn harga yg gak nguras isi dompet mereka. Dgn ada nya trifth ini malah bisa membantu masyarakat. Pengangguran skrng bnyk yg usaha trifth jualan online jualan offline mereka jadi ada kerjaannya dan berpenghasilan juga. Bnyk org yg bergaji pas pas'an di luar sana mereka kan juga pasti ada keinginan memakai pakaian bagus nah trifth ini membantu mereka karena harga nya yg terjangkau contoh 100rb sdh bisa dapet beberapa pcs. Dan  trifth juga ngebantu dunia loh go green yah kan. Dan plis lah yg komen lebih baik baru karena kita juga gatau kalo bekas nanti ada kuman nya ada bakterinya lah segala, terus yg jualan yg tiap hari nyentuh brg dagangan nya persaan aman aman aja hufttt dah deh padahal trifth ngga ada samsek merugikan rakyat malah menguntungkan 😮",baju bekas sudah jaman nenek moyang pakai sampah besar dunia trifthing kurang sampah dunia konsumen indonesia banyak kalang tengah bawah pakai pakai bagus brand harga uras isi dompet trifth bantu masyarakat anggur sekarang banyak usaha trifth jual online jual offline kerja hasil banyak orang gaji pas pas an pakai pakai bagus trifth bantu harga jangkau contoh rb dapet pcs trifth ngebantu dunia go green mohon komen tidak tau bekas kuman bakteri jual nyentuh barang dagang persaan aman aman huftt sudah deh trifth tidak samsek rugi rakyat untung,negatif,-0.0005999999999999339,0
82,zakyyridwan,Virus atau enggaknya semua hanya tergantung pengolahan👌.dan sejauh ini aman aman sajaaaaa hehe100x,virus gantung olah aman aman sajaa,negatif,-0.6124,0
84,charlespiderman,Cape gw jdi spiderman,capek saya jadi spiderman,negatif,-0.128,0
86,whoalbantanie,"""Aku cinta produk Indonesia😍"" begitulah kira-kira -+",cinta produk indonesia,positif,0.5902,1
87,wongtekklung_,"Gpp ntar jg legal dgn adanya pajak dong, PAJAK kan penting guys 🚨🚨🚨",tidak-apa-apa nanti juga legal pajak pajak guys,negatif,-0.6501,0
88,rvmdhnn,Pejabat anda noh beli pakean impor,jabat noh beli pakean impor,negatif,-0.38139999999999996,0
89,hisyamhaa,Demi gengsi mereka tidak peduli bekas daki,gengsi peduli bekas daki,positif,0.05159999999999998,1
90,riki.harlan,Yg korup amaaaan aman aja 👏,korup ama aman,negatif,-0.7906,0
92,alfarizt_,"Yaudah turunin harga nya yaa akun akun thrift, biar gua enak borong nya",ya sudah turunin harga yaa akun akun thrift saya enak borong,positif,0.04249999999999998,1
97,ginakurniawan,korupsi juga pak,korupsi,negatif,-0.7184,0
100,najib_tyz,"Yg mengganggu tu korupsi pak , apa lagi yg makan uang rakyat tu behh . Ap lagi klau sda di tangkap penjaranya ber ace seperi apartemen 🏴‍☠️🏴‍☠️🏴‍☠️🏴‍☠️",ganggu itu korupsi makan uang rakyat itu behh ap klau sda tangkap penjara ber ace per apartemen,negatif,-0.7318,0
101,rizadhan,"Ada yg ng ""import"" tenaga kerja asing juga, pak mohon ditindak 😢😢😢😢",ng import tenaga kerja asing mohon tindak,positif,0.4598,1
104,juliansihite,"Bilang brand local mahat bettt, tp HP-nya minimal iPhone 11 lengkap dengan gearset-nya dari apple watch + macbook 😂",brand lokal mahat bett tetapi hp minimal iphone lengkap gearset apple watch macbook,negatif,-0.38139999999999996,0
105,jamaluddinhelmi,@alistipiss_99 dill wkwkwk😂😂,dill wkwkwk,positif,0.6124,1
107,ibra_first1,Lebih manganggu dirimu,manganggu diri,negatif,-0.25,0
110,fairus_saskia,"Thrift dilarang karena ga bayar pajak.. coba kalau bayar pajak, pasti gak dilarang 😌",thrift larang bayar pajak coba bayar pajak larang,negatif,-0.26149999999999995,0
111,patrickthef00l,daripada beli baju beruang petir mending thrift,beli baju beruang petir mending thrift,negatif,-0.07840000000000003,0
112,hey.luthfi,Malah banyak warga mu terbantu dari bisnis thrift,warga mu bantu bisnis thrift,positif,0.12179999999999991,1
113,queenhartiannor,Setuju pak,tuju,negatif,-0.10599999999999998,0
115,mojokertojalanjalan,Solusinya gimana nih ?,solusi bagaimana,positif,0.6124,1
116,sikambing.s,"Rakyat kecil makin kecekek beli barang thrift murah sesuai kantong di larang, beli barang lokal murah tapi kw di larang juga beli lokal ori kantong ga cukup",rakyat cekek beli barang thrift murah sesuai kantong larang beli barang lokal murah kau larang beli lokal original kantong,negatif,-0.0049000000000000155,0
117,brez84,😂😂😂 presidenku gass 5 periode ampe negarane ambyar tenan.,presiden gass periode sampai negarane ambyar tenan,positif,0.07219999999999993,1
118,menghirupsekrup,"isssshhhh pantesan anak muda dalam negri yg fokus ngembangin ide nya di ranah brand lokal kurang mendapat perhatian khalayak publik, gimana engga, presiden nya aja kaya gini~ bukan membantu mengembangkan, malah menjatuhkan sektor yg lain~ WUAKAKAKKAKAKAKAKAK",isshh pantesan anak muda negeri fokus ngembangin ide ranah brand lokal perhati khalayak publik bagaimana tidak presiden kaya begini bantu kembang jatuh sektor wuakakakkakakakakak,negatif,-0.019000000000000017,0
119,dawidodachi,Lebay,lebay,negatif,-0.7184,0
120,ksrgr,"Bapak belom tau aja serunya ngethrift bongkar sana sini + harganya miring pula, aduuuhhhhh",bom seru ngethrift bongkar harga miring aduuhh,negatif,-0.03980000000000006,0
121,dimasyogap_,Gek pensiun wae pak,gek pensiun saja,negatif,-0.8402,0
122,jg_gk_id,Inget ini pengalian isu aja.,ingat ali isu,negatif,-0.25960000000000005,0
