,username,comment
12,bragasdwi,"tau brand maternal disaster? itu brand lokal yang udah punya fanbase sendiri , reseller nya jg banyak bgt,pas mereka ngeluarin artikel terbaru, dalam hitungan jam udah pada habis, bahkan gua bisa bilang brand lokal ini terlaris di indonesia karna desainnya beda dari yang lain , dan mereka bisa bersaing di era gempuran thrifting , jangan bilang gua anti lokal brand , gua punya banyak outfit brand lokal jg , lingkungan gue jg banyak yg pake brand lokal , intinya sih selama lu bisa bikin desain , bahan bagus dan tau kemauan market , pasti laku kok , kecuali lo desain nge jiplak , bahan asal2 an , kw in produk orang ( apalgi kw in brand lokal) malah jadi ilfeel yang mau beli brand lokal, jadi please lah jangan senggol2 an ,"
13,dianarikasari,"Really? Bukannya fast fashion brands kayak Zara, H&M, Cotton On, Pull & Bear, Stradivarius yang jauh lebih bikin bisnis lokal terpuruk ya? As a (small) shoe entrepreneur, ya kali bisa compete sama sneakers di H&M yang cuma Rp 199.000, sedangkan biaya produksi di Indonesia aja gak bisa segitu. When we say textile industry, can we also consider the environmental impact of continuing to produce new fabrics all the time? Can we think on a bigger scale, how to move forward more sustainably? I don't have an exact solution (duh!), but I think it's worth rethinking the whole landscape instead langsung bikin keputusan seperti ini. Just a while ago, kemenparekraf bangga banget Billie Eilish pake karya anak Indo. Tapi itu kan karya upcycling, which utilizes secondhand garments. I dream of the Indonesian goverment lebih forward thinking about the fashion industry. Fokus more into combatting barang KW, edukasi soal plagiarisme, push designers to innovate dan bukan jadi trend follower, ngajak entrepreneurs utk mengedepankan environmental values. Indonesia banyak orang kreatif tapi gak banyak yang visioner. Focus on the essentials? ✨"
14,gumilangwastuwidya,"Kalau menurutku ini cuma isu buat benturin antara masyarakat... Padahal kalau mau dikritisi justru lawan UMKM itu brand-brand luar negeri bukan Thrift... Sama-sama baru dan sama kualitasnya... Sedang thrift punya pasarnya sendiri karrna jelas kebiasaan reuse dan recyclr begini ya konsekuensi dari dosa fast fashion... Regulasi untuk membuat UMKM bersaing dengan brand fashion luar aja belum menguntungkan UMKM malah skg dibikin isu UMKM lawan Thrift... Yang mesti dikritisi juga adalah regulasi masuknya barang thrift yang selama ini kaya 'buang sampah'... Dan yang paling lucu masalah global perihal sampah fashion bukan tentang thriftnya tapi bagaimana industri fast fashion global yang bikin bajunya di Indonesia lalu dijual ke global lalu sampahnya dibuang di Indonesia lagi... Dan kita kudu dibenturkan dengan isu Thrift vs UMKM yang mana dua-duanya 'musuh' brand luar negeri... Bukankah ini semacam adu domba antara masyarakat penyuka UMKM dan masyarakat penyuka Thrift doang? Problem makernya bersembunyi dan kita tetap di adu domba, yang untung siapa? Ya Kapitalis... 😂"
15,cars.outsides,tapi thrift ga merugikan rakyat
16,uswoosh.id,"Bukannya produksi brand kaya zara,H&M, Uniqlo gitu lebih merugikan ya? liat aja mahasiswa sekarang yang notabene nya salah satu target pasar industri fashion kebanyakan pasti pakai fashion brand mereka , alasannya apa? ya karna biaya produksi brand lokal di indo masih gasebanding sama kualitas brand fast fashion luar dengan harga yang sama, please think on a bigger scale, emang semisal thrift dihapus brand lokal bakal lebih naik? ato jangan jangan ntar lebih banyak yang co hoodie h&m 100rb an di shopee 😌, tapi apalah dayaku yang mau ditutup"
17,whiz.officialstore_tlg,Apakabar yg import beras ???? Apakah itu memperdulikan kesejahteraan para petani lokal ?
18,arif.lau,"Itu karena konsumen Indonesia banyak dari kelas menengah dan kebawah mempunyai keinginan mempunyai pakai kualitas baik, brand bagus tapi harga kaki lima, kebutuhan ini akan sulit di produksi oleh pabrik tekstil local, akhirnya mayarakat memilih barang bekas luar negeri, bermerek, second dan bahan berkualitas. Sayang nya pemerintah tidak bisa menciptakan ekosistem seperti ini."
19,r.rizqiie,"Yaa orang kualitas bagus, harganya murah. Lah disini mah kualitas gembel juga harganya mahal"
20,adrialbadri,mau beli lokal tapi brand lokal kebanyakan modelnya gitu-gitu aja :(
21,badakkekar,Yg penting 100rb dapat 3 😂
22,anisakaysta,Kenapa sih konsennya ke BEKAS yang MENGGANGGU ? Kenapa yang BRANDED harga selangit itu gak diliat ? Itu mengancam UMKM juga lho. Coba artis2 dan horaaang kayaaa indonesia jangan pake yang branded. Pake LOKAL AJA.
23,ameliarbi,"Barang thrift 30ribu udah bagusss bgt bahannya, barang lokal yg harganya 30ribu bahannya kayak kain perasan santan pak🙃"
24,alexpakekx,Yup harus banned2 pakaian thrift biar lokal pada laris
25,taryshathalia_,"Skrg apa pak jokowi bisa bantu kita dpt pekerjaan setelah tempat kerja kita ditutup karna usaha thrifting? Karyawan bos saya sudah banyak pak. Kalo bapak bertindak seperti ini bukan jadi solusi yg baik tapi menjadi masalah baru yaitu meningkatnya pengangguran di Indonesia. Sedangkan apakah umkm membuka lapangan kerja untuk kita? Rezek sudah diatur sama Allah pak, percaya dan yakin semua gaakan pernah tertukar. Sedih saya gabisa kerja lagi karna bos saya udah diamankan dan 65 bal sudah diamankan juga:("
26,tariptrreal,"PAKK SSSSTT DIEM AHH.. BAPAK PENGUSAHA PRESIDEN PULA, ANAKNYA KONTEN KREATOR PENGUSAHA, BELI BARU BISA.. LAH KITAA YG DAGANG GORENGAN MAU BELI ADIDAS BARU MAH MIKIR, YA NYARINYA SECOND BRAND.. JGN BIKIN SAYA NYESEL NYOBLOS BAPAK DEH"
27,tsanyyangtadi,"Ini yang berantem di komen saling menutup rezeki... Bro tukang cuangki di pusdai aja dagang sebelah sebelahan bersama tukang cuangki lainya aman aman aja semua punya pasarnya masing masing jadi kalo menurut gw ini masalah ga relate sama ""nutup rejeki"" karena rejeki bakal selalu ada jalan nya sendiri gada yg bisa halangin... Ini yg jadi masalah kayanya thrift ga bayar pajak, ya emang males bayar soalnya takut duit gw dibeliin rubicon chuaaksss.. :)"
28,rald7ind,"sekalian aja larang brand sepatu nike, adidas, new balance, sketcher, Reebok dll, karna menganggu penjualan brand sepatu lokal, gua yakin pemerintah ga bakal berani nyenggol mereka, setorannya kenceng"
29,biasadipanggilrejak,helo pak mending fokus audit di kemenkeu aja dulu ya atau peningkatan kualitas sdm sektor bumn daripada hal begini yg sebenernya ngebantu buat alternatif fast fashion yg ga sustain. kalopun kita genjot produksi dan konsumsi pakaian baru dalam negeri ttp aja ga mecahin masalah bahan sandang yang mungkin akhirnya jadi sekedar masalah baru dan yaa … isi sendiri 🫡
30,takersodo,"Tingkatkan Kualitas ❎
Salahkan Pesaing ✅"
31,indonesianlocalpride,"Jangan pandang brand lokal sebelah mata, sudah saatnya kita bangga memakai produk lokal - Jokowi"
32,puisisenja.id,yang lokal lokal aja
33,cindywlng,Tapi thrifthing membantu masyarakat bawah untuk bangkit ekonominya 🥹 gak semua thrifting itu barang dari luar kok. Pleaseee urusin dulu mereka2 yg suka makan uang rakyat 😭
34,faizulhamdanyy,bau bau baju partai bakal naik daun nich😍
35,kirakhairu,"New world has different, local or thrift have a market level, just compete, level up your business, grow with your own way!"
36,rifkitihum,"Sangat setuju kalo thrift merusak pasar fashion indie, jadi sekalian aja pak mall2 di bebasin dari brand luar, biar diisi sama brand2 dalam negri aja @jokowi"
37,rosalsurbakti,"Miskin kan rakyat, perkaya pejabat! 🤣kalau persaingan di Indonesia udh bersih dan bebas dr KKN mungkin keputusan ini bisa ditindaklanjutin pak,  di lapangan banyak issue dr pejabat2 dibidang pengendalian surplus dan defisit pendapatan negara aja blm ada ketegasan, ini malah mau ngerecokin yg ga punya power yg hidupnya cuma bergantung dr usaha thrift yg hari2 berharap bhwa pemerintah setidaknya memikirkan bagaimana mereka bisa hidup kedepannya."
38,staccato750,"Aku beli jaket produk indonesia harga 400k bahan parasut tipis. Sebulan kemudian gue beli thrifting dengan harga 100k, bahan dan model bagus bgt, brand luar negeri pula. Jadi gimana ya pak 😌 sebagai warga negara yg perhitungan kayaknya masih pikir2 juga"
39,hopefulcatalogue,Hoodie thrift nya kak silahkan 😁❤
40,oohasan_,kalau yang sampe jual pulau gimana pak?
41,warisan_apak,"Untung aja bapak ini menjabat tinggal 11bulan.😂 padahal dulu saya pro bgt sama bapak, tapi makin kesini makin terlihat jelas mulai kontra, sorry sir.👏🙌"
42,claudiaherlinaa,Loh gimana sih.. katanya Rejeki udh ada yg atur. Jangan takut bersaing. Chuaks 🙏
43,indonesianlocalpride,#banggabuatanindonesia
44,rivalfauzannn,jadi solusi nya apa pak? stetment kok gaada solusi nya
45,_indraaprtmaaa_,"kalo cina yg dateng terus kerja di sini ngeganggu ngga, pak?"
46,akhusainirizqi,"Saran aja sih perbaiki dalem dulu baru ngoreksi luar, kaos di koment beras di import sedangkan beras dari indo yang bagus malah di eksport.... Gimana gimana ???"
47,gulfose_food,yg mengganggu produksi dlm negeri itu.. produk massal fast fashion pak.. seperti HM Zara Pull n Bear dll belum lagi fashion murah China SHEIN  atau produk import murah dri Thailand... Bapak2 Pejabat kalau gak ada kerjaan mending Tidur istirahat Dunia Akhirat 🙏👍
48,morph.stuff,ada yang tau solusi mengobati mata minus?
49,supernale_,"Kalau barang FAKE gimana ya?? Seperti ZR, LVTONG, GCCI dll... 🥹"
50,benkriswana,Baju cakar
51,anisacyni,"@umma_chi27 maaf pak, pakaian cakar sangat menunjang fashion kami jaman kuliah 😂"
52,hagd.idd,Ada solusi kah pak deh??? Ada berapa ratus ribu orang yang menjadikan thrift ladang rezeki mereka?
53,abdurrahmaanthalif,"@aigalakr ini pak pelakunya,tangkep aja orang tuanya udah ga sayang @dylnrs_"
54,ardiiaaans_,"pakaian bekas ada penyakit/virus, pernah ada beritanya emang kalo ada yang kena penyakit? gua aja aman aman aja kalo beli thrift asalkan dicuci dulu yang bersih."
55,guerinduu,"Coba yg industri lokalan sadar diri. Tingkatkan kualitasnya. Masa gw pernah beli kaos harga 100an bahannya jelek bgt, sementara pernah nyoba beli barang thrift 100k paling murah bisa dapet 3 bahannya bagus lagi. Sejauh ini, bukannya membenci barang lokal, hanya saja untuk kaos dan celana, masih blm nemu brand yg oke. Untuk sepatu sendiri, lokal yg oke baru cuma Nah Project doang menurutku. Harga bersahabat, kualitas tinggi."
56,dialogsenja_,"pertanyaannya, kok bisa masuk ke indo itu yang ngelolosin siapa pak? gamau dicari tau dulu itu?"
57,mega_salsabillah,Ada baju gratis tapi ngasinya dilempar 🫣
58,diosetta.69,"Tepatnya mengganggu industri besar, tp berjalanya umkm, event, lahan jualan, dan importir harusnya bisa nutup.. Cmiiw"
59,adityabnugraha,Lah dulu beras impor juga ganggu produksi beras dalam negri loh pak 😂
60,muhamaddyahya,Kayaknya lebih ke mengganggu pemasukan pajak sih
61,aaanjr,Kalo itu bisnis para pejabat mungkin gakan ganggu ya pak ?😂
62,goodoutfitid,tanda tanda ada giveaway kaos partai kah?
63,historiesbuyost.id,INDONESIA MENDUKUNG PENGANGGURAN SEMAKIN BANYAK❤️AKU CINTA INDONESIA❤️
64,naufal_antono,Yang menggangu itu yg pake uang pajak rakyat buat foyah2 pinterr
65,rizalmuhqqq,"ga, gue lebih suka thrift🙏🏻"
66,randychriss1,Buy used clothes for 20k or buy new clothes with exact quality for 200k? Hmmmmmmmm
67,estuindahr,"ga semua orang mampu beli brand"" mahal solusinya lewat trifhting tujuanya untuk memuaskan diri mereka sendiri, emg kenapa si"
68,suprikkk,Emang bapak pikir impor pekerja dari luar negri tidak mengganggu pekerja dalam negri.
69,_camatcha,ywda pake baju partai aj deh klo gitu
70,fachri.ch__,"Produk dalam negri, uda mahal ga sesuai kualitas pula"
71,sandyalamsyah_,Yang lebih menggangu Brand KW atau palsu pak.
72,wahyuuu_________,@maythrift19
73,chndrkrnwn,apa artinya bg owi?
74,mfqri,"Sorry abangku,gabisa kita baru jualan. Yang mau CELANA CARHARTT BOLEH DONG DI CEK DOLOO"
75,damwinkel,Korupsi sih yg menganggu industri dalam negeri…
76,rachmadajin,"ganggu opone se,lapo ga ket biyen? iki lo dodolane wes turun temurun. bakalan akeh lo sing terdampak,pengangguran merajalela. solusine opo?"
77,mdwirifaldy,Mending bekas tapi ori daripada baru tapi kawe
78,faaaaaaaani_,"tapi bagus"" dan murah pakkk, saya jadi bisa hemat pengeluaran buat beli pakaian 🙃"
79,senna_ekha,seng mengganggu ki seng gawe produk kawe
80,fareljuniorr_,udah paling bener solat tepat waktu
81,haristujuh,kalo ini kita dukung pak
82,___putryamelya03,"Baju bekas udah ada dari jaman nenek moyang nih yah. Terus juga pakaian itu termasuk sampah terbesar di dunia. jadi dgn ada nya trifthing ini sama aja dengan mengurangi sampah dunia. Dan konsumen indo bnyk dari kalangan menengah/kebawah mereka juga mau pake pakaian yg bagus ada brand nya dgn harga yg gak nguras isi dompet mereka. Dgn ada nya trifth ini malah bisa membantu masyarakat. Pengangguran skrng bnyk yg usaha trifth jualan online jualan offline mereka jadi ada kerjaannya dan berpenghasilan juga. Bnyk org yg bergaji pas pas'an di luar sana mereka kan juga pasti ada keinginan memakai pakaian bagus nah trifth ini membantu mereka karena harga nya yg terjangkau contoh 100rb sdh bisa dapet beberapa pcs. Dan  trifth juga ngebantu dunia loh go green yah kan. Dan plis lah yg komen lebih baik baru karena kita juga gatau kalo bekas nanti ada kuman nya ada bakterinya lah segala, terus yg jualan yg tiap hari nyentuh brg dagangan nya persaan aman aman aja hufttt dah deh padahal trifth ngga ada samsek merugikan rakyat malah menguntungkan 😮"
83,filiajawanda,@pepyperry @noeridris  luputs wkwk
84,zakyyridwan,Virus atau enggaknya semua hanya tergantung pengolahan👌.dan sejauh ini aman aman sajaaaaa hehe100x
85,_angrnsptraa,@bynta.ng_ @jokowi tak trabas pak 😍😂
86,charlespiderman,Cape gw jdi spiderman
87,amrur.roch,@aalbiafrian kumaha ieuuu
88,whoalbantanie,"""Aku cinta produk Indonesia😍"" begitulah kira-kira -+"
89,wongtekklung_,"Gpp ntar jg legal dgn adanya pajak dong, PAJAK kan penting guys 🚨🚨🚨"
90,rvmdhnn,Pejabat anda noh beli pakean impor
91,awasuka,@aarrrnnnn_
92,26.05_n,@nurasalehh
93,hisyamhaa,Demi gengsi mereka tidak peduli bekas daki
94,riki.harlan,Yg korup amaaaan aman aja 👏
95,erly_rf,@aarrrnnnn_  turliscuk
96,alfarizt_,"Yaudah turunin harga nya yaa akun akun thrift, biar gua enak borong nya"
97,manusia_setengah_jawa,Ehm beras impor
98,akbarmmuhammad__,@ghiffariadityaa pak ini pelakunya
99,gilbrannx,Bangkek. Baru mau buka toko thrifting @andradryann
100,d4hliaa.r,@mama_lina28  @kim.elkai
101,ginakurniawan,korupsi juga pak
102,aameliapu,🤣 @tutikdewinofiani
103,dikaaf.s,Lah brandlokal kita aja ngecopas barang² vintage wkwk
104,____siindy,@syachirazzahra waduh lha trift e pie
105,kartiniapriliaaa,@wong_adss @liantrip
106,najib_tyz,"Yg mengganggu tu korupsi pak , apa lagi yg makan uang rakyat tu behh . Ap lagi klau sda di tangkap penjaranya ber ace seperi apartemen 🏴‍☠️🏴‍☠️🏴‍☠️🏴‍☠️"
107,rizadhan,"Ada yg ng ""import"" tenaga kerja asing juga, pak mohon ditindak 😢😢😢😢"
108,rahanz14,Bisnis impor beras menguntungkan atau merugikan pak?
109,iamwillchandra,Pemerintah indonesia sangat menganggu negeri ini
110,juliansihite,"Bilang brand local mahat bettt, tp HP-nya minimal iPhone 11 lengkap dengan gearset-nya dari apple watch + macbook 😂"
111,jamaluddinhelmi,@alistipiss_99 dill wkwkwk😂😂
112,erryhariss,Kalau begini kasihan yg punya usaha jualan online pakaian bekas
113,ibra_first1,Lebih manganggu dirimu
114,jualdonat.kdr,Mau promo jadi takut 😢
115,abdurgunawan,@sulthan_msa hmmmm
116,fairus_saskia,"Thrift dilarang karena ga bayar pajak.. coba kalau bayar pajak, pasti gak dilarang 😌"
117,patrickthef00l,daripada beli baju beruang petir mending thrift
118,hey.luthfi,Malah banyak warga mu terbantu dari bisnis thrift
119,queenhartiannor,Setuju pak
120,sebutsajayusril,Pakaian segala pake diatur
121,mojokertojalanjalan,Solusinya gimana nih ?
122,sikambing.s,"Rakyat kecil makin kecekek beli barang thrift murah sesuai kantong di larang, beli barang lokal murah tapi kw di larang juga beli lokal ori kantong ga cukup"
123,brez84,😂😂😂 presidenku gass 5 periode ampe negarane ambyar tenan.
124,menghirupsekrup,"isssshhhh pantesan anak muda dalam negri yg fokus ngembangin ide nya di ranah brand lokal kurang mendapat perhatian khalayak publik, gimana engga, presiden nya aja kaya gini~ bukan membantu mengembangkan, malah menjatuhkan sektor yg lain~ WUAKAKAKKAKAKAKAKAK"
125,dawidodachi,Lebay
126,ksrgr,"Bapak belom tau aja serunya ngethrift bongkar sana sini + harganya miring pula, aduuuhhhhh"
127,dimasyogap_,Gek pensiun wae pak
128,jg_gk_id,Inget ini pengalian isu aja.
129,mmqdmfs_,Koruptor juga mengganggu industri dalam negeri
130,dessyhsn,Duh pak lagi nyari rezeki halal masa dilarang
131,edooklntma,Minta solusinya juga pak @jokowi  kan pasti banyak yang nganggur lagi tuh
132,me.lita,aduch huftt
133,reinywagiu,hadodo @shintawenas 🙊😂
134,thzurcrsh,ada brand lokal yg bagus tapi marketingnya kek taai sengaja di limited limited mo beli aja kaga pernah kebagian wkwk skrg udh sepi nyalahin kota yg thrifting ktl
135,egiprakoso14,Mau beli lokal harganyaa selangit kualitasnya jelek cuttingannya ga pas.
136,mlcks,lokal kadang kalo dikasih angin suka ngelunjak
137,streetbianinlifeznwy_,yaaa karena penjualan pakaian bekas harga nya relatif rendah dan mayoritas lebih memilih barang tersebut.
138,hapibisyir_,@albarizkyy bakal susah ngethrift
139,ermanfirdaus,"Termasuk impor beras, gula, kedelai, garam, dan bahan"" pokok lain yg melimpah di negeri ini sekalian di stop pak, sangat sangat merugikan petani dan kesejahteraan rakyat juga."
140,azlan.rezlan,"Bersaing aja. Mereka murah tapi bagus ya siapa yg ga mau. Lah ini Deket, bagus, tapi mahal, murah dikit dah beda kualitas"
141,inviiola,@a.dewiiii tolong k pak jangan😂😂
142,r.ilham43,"Penyelesaian?, Nyatanya brand lokal mematok harga yang cukup tinggi, dan juga mohon maaf kualitasnya masih low, desainnya pun juga itu itu aja modelnya."
143,aryakuy__,"Lokal mahal"" iya jelaslah, kan bukan bekas kecelakaan chuakss"
144,nayylasvrr,@anisasadidah_ ap kita harus berhenti?😢
145,yourdailysins_,"Adanya thrift vintage dll gue dapet pemasukan lebih. Bisa buat makan sehari hari udah cukup alhamdulillah , dan skrng bisa buat bootleg sendiri bahkan expor ke luar negeri at least karena apa ? Ya karena mereka menghargai karya seni kita.  Disini mah cukup baju beruang petir aja ya gaes ya"
146,g24news.tv,Mari kita dukung UMKM Lokal👍 Brand baju dalam negeri juga ga kalah bagus kok👏
147,farizzaarr,Lain nhanya kieu wae
148,dino.budiawan,"Terkesan adu domba umkm dengan thrift, ekosistem fast fashion juga sudah selayaknya kalo ada recycle, mending push brand lokal kasih support biar bisa compete dengan brand fast fashion luar yg udh banyak masuk ke indo,"
149,ijepijep,100k = 3 pieces
150,letlovegrow___,Temen saya baru mau opening pak @mahalnya_thrift
151,atom__tom,"Mau support UMKM tapi harga dan kualitas beda Pak. Kami juga siap support UMKM tapi cobalah kualitas di nomor 1 kan jangan hanya mau untung banyak sama satu lagi cobalah jangan produksi Massal, kasian kalau dipakai baru jarak 10 Meter dah ada lagi mirip nya. Wkwkwkw kocak 🤣🤣🤣"
152,1tsuki_15,teu apal stel nya nay @3.10_pm
153,bro_barbar,kaos partai memajukan industri lokal juga kan weheheh
154,jabalrahmaaan,matimija @iamwahyu_rh
155,dewaunitedesports,"Mari konsumtif produk lokal pride nih, misalnya kalian bisa kunjungi @dewaunited.store 🖤🤍💛"
156,yohanesrudianto,@isabell.bahasastra Your opinion?
157,juragan_tartan,Proses meningkatkan jumlah pengangguran 👏👏👏
158,_imam.hanz,Y
159,zodiakgram,"WAHAI ORANG YANG LANCAR REJEKINYA, anda tau tidak like komen skrg ga usah klik love, cukup klik dua kali komentar ini langsung auto like! Selamat mencoba😂"
160,anggerprmbd_,Produk lokal kalah sama katalog thrift?🤔
161,bebekofthelaputa,"Padahal kan marketnya juga beda, yang beli thrift kebanyakan juga ya bisa dilihat sendiri deh coba ke senen. Buat kami kami yang kurang solusi punya baju yang layak dan tidak menyengsarakan kantong sendiri ya mau gamau thrift. Walaupun itu sampah luar ya emang gak ada lagi solusinya, belum pernah ngerasain susah sih 😢"
162,022therow,ayo cintai produk lokal contohna mencintaiku
163,azizap_,"Banyak padahal yg impor, tapi yg kena kenapa thrifting yaaa?"
164,jualdonat.kdr,100rb dpt 3pcs #rvn75k
165,hagataaaaaa,"Aspek bikin baju lokal itu ada pabrik tekstil - konveksi - tukang sablon - distributor = ada rantai ekonomi yang ngehidupin para pekerja buruh. Untuk thrift atau barang bekas dari luar masuk ke indo antara daur ulang atau diapain gatau , dijual perkarung dengan harga murah - jatuhnya penjual baju bekas hpp lebih murah ngejualnya gampang. Dampak negatifnya rantai ekonomi terhambat banyak buruh diphk kalo Dampak positifnya banyak UMKM penjual baju thrifhting laku dan membantu perekonomian dari penjual itu sendiri. Ini penilaian pribadi ya 🙏🏻"
166,arriamaulana,"Kalo mau memajukan industri dalam negeri, jangan lah ada itu brand2 luar yg terpampang di mall, harusnya mall diisi UMKM chuakzz"
167,mun.brr,wes mending udoh ra resiko
168,inay.ts,@alfiyatulkm @umimalikalb
169,goffar_achmad,"Bisnis thrift untung e kor jutaan pak , gek kui halal . bisnis pegawai keuangan iso trilyunan pak , iso ngo tuku harly plus rubicon mending sampean ngurusi kui sek pak luweh penting timbang ngurusi barang thrif"
170,firman_allatif,Bawang dan beras import juga di stop. Yuk makan hasil produksi petani indonesia chuuaaakkksss
171,bangmamet__,Brand Siapa hayooo yg ngadu sama backingan nyaaaaa????? 😂
172,aloysius_ganzaga,"Itu barang"" bren luar yang puluhan juta apakabar ?"
173,emega.id,"menurutku sih brand local pada laku dah, aku perhatikan di ig. pada laku2 tuh baju2 yg 400ribuan juga ludes mulu. bnyak ko brand local yg laku keras. nah utk yg ga laku, coba di inget2 lagi. barang yg ditawarkan menghasilkan peminat bnyak gak? mengingat skrg bnyak lahir brand local disitu otomatis persaingan ketat entah dri segi harga kualitas dan kreatifitas yg dikeluarkan. misal dri segi model yg lucu/unik. pinter2 bikin barang seunik dan sekreatif mungkin dong. supayabisa menarik pembeli bnyak. kalo menyalahkan thrift. aga aneh sih. bekas dan brand lokal ko disandingkan! ya jelas beda lah. bekas dan baju baru point disitu aja udh beda kelas. brand lokal kamu itu posisinya diatas thrift loh. masa mau menyalahkan thrift? kalo soal ga laku banyak stok menumpuk gk terjual ya cari solusi dong entah iklan/tingkatkan design baju, atau apa ke . jgn nyalahin thrift 😁 pendapatku sii."
174,fairus_saskia,"Rakyat disuruh pakai local tapi para menteri, pejabat dan istri istrinya pamer barang mewah brand luar negeri. Hadehh"
175,ilmifauzian,@tresaaqr
176,mbagas16,"BERAS, KEDELAI, GARAM, APA LAGI APA LAGI 😅 GANGGU GA"
177,bomber.bangsat,Mungkin sudah kehabisan bahan ngelawak... piss
178,ts_000333,terserah rakyat mau beli yang mana yang jelas mampu
179,siskaelisabet_,Gue yang punya jualan thrift dan juga jualan kaos sablon kaos antara thrift import dan umkm lokal harus apa pak kiw kiw ☝🏻🌚 salam sayang
180,christopher_adijaya,"Makanya produk lokalnya jgn mahal"" juga. biar semua kalangan bisa beli 🤘 apalagi reseller ngasih harga 2-3x lipatt"
181,adrfadel97,@knamamank gmn neh
182,kennyyogi,@rockyms_ awas pajak naek 😂😂
183,andrybhojee,Kalah jauh bos
184,selenaphile_,waduuu @amiiraaaaaaaaaaaa
185,thejokuls,Untung jualan cilok
186,hirdaarifinnn,Ngethrift sebagian dari kebahagian saya pak maaf bngtt🙏🏼
187,ezy.alvarez,Pemerintah juga trifht kreta dari jpg
188,imaa.novita,"Intinya thirft itu gamasuk pajak negara, bukan masalah merusak industri lokal, krn semua ada pasarnya masing2. Kalo merusak industri lokal yaudah negara sekalian gausah terima pakaian baru maupun second dari luar negri dong."
189,twentyeight.vtg,"Sebenarnya kembali lagi ke rezeki masing2, semua sudah di atur bro, ada yang seneng lokal ada yang seneng produk luar, semua ada segment nya tenang aja 🍻"
190,kawanbermain_,"Beli kemeja di distro lokal 300rb, nyari di pasar loak pego dapet uniqlo dua pcs wkwkwk"
191,m.zakyroihan,Mau promosi takut di penjara🔥
192,derielshj,"@andikawjyy ka , marahkan lah"
193,rodelajiii,bagaimana pendapat anda @puturadtya
