,username,comment,clean_data,case_folding,tokenize,stopwords,normalization,stemming
585,yeddy.pratama,Hoodie thrift nya kakak silahkan 😂🙌,Hoodie thrift nya kakak silahkan,hoodie thrift nya kakak silahkan,"['hoodie', 'thrift', 'nya', 'kakak', 'silahkan']",hoodie thrift kakak silahkan,hoodie thrift kakak silahkan,hoodie thrift kakak silah
586,restia.vitha,"Product dalam negeri harganya jutaan pak, sedangkan thrift cuma 20rban",Product dalam negeri harganya jutaan pak  sedangkan thrift cuma rban,product dalam negeri harganya jutaan pak  sedangkan thrift cuma rban,"['product', 'dalam', 'negeri', 'harganya', 'jutaan', 'pak', 'sedangkan', 'thrift', 'cuma', 'rban']",product negeri harganya jutaan thrift rban,produk negeri harganya jutaan thrift rban,produk negeri harga juta thrift rban
587,__ayje__,Yaudah pake kaos Partai aja. Udah mau 2024 juga 😂,Yaudah pake kaos Partai aja  Udah mau juga,yaudah pake kaos partai aja  udah mau juga,"['yaudah', 'pake', 'kaos', 'partai', 'aja', 'udah', 'mau', 'juga']",yaudah pake kaos partai udah,ya sudah pakai kaos partai sudah,ya sudah pakai kaos partai sudah
589,elokrahmamu,Karena pajak bea cukai (yang terlalu mahal) merugikan masyarakat,Karena pajak bea cukai  yang terlalu mahal  merugikan masyarakat,karena pajak bea cukai  yang terlalu mahal  merugikan masyarakat,"['karena', 'pajak', 'bea', 'cukai', 'yang', 'terlalu', 'mahal', 'merugikan', 'masyarakat']",pajak bea cukai mahal merugikan masyarakat,pajak bea cukai mahal merugikan masyarakat,pajak bea cukai mahal rugi masyarakat
590,daaemonn,"Minimal yang jual thrifting ngotak juga, barang bekas lu jual seharga hampir kayak beli baru",Minimal yang jual thrifting ngotak juga  barang bekas lu jual seharga hampir kayak beli baru,minimal yang jual thrifting ngotak juga  barang bekas lu jual seharga hampir kayak beli baru,"['minimal', 'yang', 'jual', 'thrifting', 'ngotak', 'juga', 'barang', 'bekas', 'lu', 'jual', 'seharga', 'hampir', 'kayak', 'beli', 'baru']",minimal jual thrifting ngotak barang bekas lu jual seharga kayak beli,minimal jual thrifting ngotak barang bekas kamu jual seharga seperti beli,minimal jual thrifting ngotak barang bekas kamu jual harga seperti beli
591,riolanggeng_72,Bener bangettt,Bener bangett,bener bangett,"['bener', 'bangett']",bener bangett,bener bangett,bener bangett
592,doyogpakeg,singletan aja udah,singletan aja udah,singletan aja udah,"['singletan', 'aja', 'udah']",singletan udah,singletan sudah,singlet sudah
593,dwi_joan,Pindah negara paling aman,Pindah negara paling aman,pindah negara paling aman,"['pindah', 'negara', 'paling', 'aman']",pindah negara aman,pindah negara aman,pindah negara aman
594,m.aqlaaa,Korupsi lebih mengganggu,Korupsi lebih mengganggu,korupsi lebih mengganggu,"['korupsi', 'lebih', 'mengganggu']",korupsi mengganggu,korupsi mengganggu,korupsi ganggu
595,arigostore.id,MOTZ Original Celana Chino Panjang Reguler Abu,MOTZ Original Celana Chino Panjang Reguler Abu,motz original celana chino panjang reguler abu,"['motz', 'original', 'celana', 'chino', 'panjang', 'reguler', 'abu']",motz original celana chino reguler abu,motz original celana chino reguler abu,motz original celana chino reguler abu
596,miftrr_,Seru ya bacain SJW debat disini 😂,Seru ya bacain SJW debat disini,seru ya bacain sjw debat disini,"['seru', 'ya', 'bacain', 'sjw', 'debat', 'disini']",seru bacain sjw debat,seru bacain sjw debat,seru bacain sjw debat
597,meilisa.sembiring,Apakah ini termasuk tas second jg kah ?,Apakah ini termasuk tas second jg kah,apakah ini termasuk tas second jg kah,"['apakah', 'ini', 'termasuk', 'tas', 'second', 'jg', 'kah']",tas second jg kah,tas second juga kah,tas second juga kah
598,fahmi90s_,Kumaha iye😢 @xstyle.id @bi9boss,Kumaha iye  id,kumaha iye  id,"['kumaha', 'iye', 'id']",kumaha iye id,bagaimana iya id,bagaimana iya id
599,jihanqr,Namanya juga persaingan pak,Namanya juga persaingan pak,namanya juga persaingan pak,"['namanya', 'juga', 'persaingan', 'pak']",namanya persaingan,namanya persaingan,nama saing
600,cainish__,hmzz,hmzz,hmzz,['hmzz'],hmzz,hmzz,hmzz
601,fluterrby_,Setuju,Setuju,setuju,['setuju'],setuju,setuju,tuju
603,passingpapers_,fuck off,fuck off,fuck off,"['fuck', 'off']",fuck off,fuck off,fuck off
604,jnrchmh,G GT PAK. KALI INI SAYA G SETUJU HHHHFFFT,GT PAK  KALI INI SAYA SETUJU HHFFT,gt pak  kali ini saya setuju hhfft,"['gt', 'pak', 'kali', 'ini', 'saya', 'setuju', 'hhfft']",gt kali setuju hhfft,begitu kali setuju hhfft,begitu kali tuju hhfft
606,acilgs_,"Rezeky sdh di atur kali ga usah takut brand sana sini ga laku, tapi gue pribadi pencinta baju bekas chuakssss",Rezeky sdh di atur kali ga usah takut brand sana sini ga laku  tapi gue pribadi pencinta baju bekas chuakss,rezeky sdh di atur kali ga usah takut brand sana sini ga laku  tapi gue pribadi pencinta baju bekas chuakss,"['rezeky', 'sdh', 'di', 'atur', 'kali', 'ga', 'usah', 'takut', 'brand', 'sana', 'sini', 'ga', 'laku', 'tapi', 'gue', 'pribadi', 'pencinta', 'baju', 'bekas', 'chuakss']",rezeky atur kali takut brand laku gue pribadi pencinta baju bekas chuakss,rezeky atur kali takut brand laku saya pribadi pecinta baju bekas chuakss,rezeky atur kali takut brand laku saya pribadi cinta baju bekas chuakss
607,ninaokta112gmail.com7,"Noh horang kaya pke branded gmn...kremes...bale""an... Guci..ntu khn barang impor jg ... Kga diomelin jg nohh...",Noh horang kaya pke branded gmn  kremes  bale an  Guci  ntu khn barang impor jg  Kga diomelin jg nohh,noh horang kaya pke branded gmn  kremes  bale an  guci  ntu khn barang impor jg  kga diomelin jg nohh,"['noh', 'horang', 'kaya', 'pke', 'branded', 'gmn', 'kremes', 'bale', 'an', 'guci', 'ntu', 'khn', 'barang', 'impor', 'jg', 'kga', 'diomelin', 'jg', 'nohh']",noh horang kaya pke branded gmn kremes bale an guci ntu khn barang impor jg kga diomelin jg nohh,noh horang kaya pakai branded bagaimana kremes bale an guci ntu khn barang impor juga tidak diomelin juga nohh,noh horang kaya pakai branded bagaimana kremes bale an guci ntu khn barang impor juga tidak diomelin juga nohh
608,__goeasyonmebaby,Bisnin impor mobil baru juga mengganggu penjualan mobil Esemka,Bisnin impor mobil baru juga mengganggu penjualan mobil Esemka,bisnin impor mobil baru juga mengganggu penjualan mobil esemka,"['bisnin', 'impor', 'mobil', 'baru', 'juga', 'mengganggu', 'penjualan', 'mobil', 'esemka']",bisnin impor mobil mengganggu penjualan mobil esemka,bisnin impor mobil mengganggu penjualan mobil esemka,bisnin impor mobil ganggu jual mobil esemka
609,goriorioenakk_,Heh,Heh,heh,['heh'],heh,heh,heh
610,wahyu_alfajar,Nunggu kaos dr Bu @puanmaharaniri aja dah,Nunggu kaos dr Bu aja dah,nunggu kaos dr bu aja dah,"['nunggu', 'kaos', 'dr', 'bu', 'aja', 'dah']",nunggu kaos dr bu dah,nunggu kaos dari bu sudah,nunggu kaos dari bu sudah
611,ale_234x,Brand lokal jahitannya gk lurus 😂,Brand lokal jahitannya gk lurus,brand lokal jahitannya gk lurus,"['brand', 'lokal', 'jahitannya', 'gk', 'lurus']",brand lokal jahitannya gk lurus,brand lokal jahitannya tidak lurus,brand lokal jahit tidak lurus
612,fadhliar23,Rakyat beli nya thrift under 100k di anggap merugikan..... Sedangkan pemerintah yang korupsi triliunan dibiarkan chuaksss,Rakyat beli nya thrift under di anggap merugikan  Sedangkan pemerintah yang korupsi triliunan dibiarkan chuakss,rakyat beli nya thrift under di anggap merugikan  sedangkan pemerintah yang korupsi triliunan dibiarkan chuakss,"['rakyat', 'beli', 'nya', 'thrift', 'under', 'di', 'anggap', 'merugikan', 'sedangkan', 'pemerintah', 'yang', 'korupsi', 'triliunan', 'dibiarkan', 'chuakss']",rakyat beli thrift under anggap merugikan pemerintah korupsi triliunan dibiarkan chuakss,rakyat beli thrift under anggap merugikan pemerintah korupsi triliunan dibiarkan chuakss,rakyat beli thrift under anggap rugi perintah korupsi triliun biar chuakss
613,yuliaputri6583,Ga semua dari kami mampu untuk beli baju yg di mall dengan harga sebulan makan pak,Ga semua dari kami mampu untuk beli baju yg di mall dengan harga sebulan makan pak,ga semua dari kami mampu untuk beli baju yg di mall dengan harga sebulan makan pak,"['ga', 'semua', 'dari', 'kami', 'mampu', 'untuk', 'beli', 'baju', 'yg', 'di', 'mall', 'dengan', 'harga', 'sebulan', 'makan', 'pak']",beli baju mall harga sebulan makan,beli baju mall harga sebulan makan,beli baju mall harga bulan makan
614,dapit_es_anget,Setuju,Setuju,setuju,['setuju'],setuju,setuju,tuju
615,iniliwoy,"Kata saya, mending brand luar negri dulu dikurangin, knp pak? takut duit gengsi abis atau duit rakyat abis?",Kata saya  mending brand luar negri dulu dikurangin  knp pak  takut duit gengsi abis atau duit rakyat abis,kata saya  mending brand luar negri dulu dikurangin  knp pak  takut duit gengsi abis atau duit rakyat abis,"['kata', 'saya', 'mending', 'brand', 'luar', 'negri', 'dulu', 'dikurangin', 'knp', 'pak', 'takut', 'duit', 'gengsi', 'abis', 'atau', 'duit', 'rakyat', 'abis']",mending brand negri dikurangin knp takut duit gengsi abis duit rakyat abis,mending brand negeri dikurangin kenapa takut duit gengsi habis duit rakyat habis,mending brand negeri rangin kenapa takut duit gengsi habis duit rakyat habis
616,royreynald,Yoo karepmu de,Yoo karepmu de,yoo karepmu de,"['yoo', 'karepmu', 'de']",yoo karepmu de,yoo terserah kamu de,yoo serah kamu de
618,sejengkal_bumi,Kalian pake baju ngab? 🗿,Kalian pake baju ngab,kalian pake baju ngab,"['kalian', 'pake', 'baju', 'ngab']",pake baju ngab,pakai baju ngab,pakai baju ngab
619,espeweh,Betooll,Betooll,betooll,['betooll'],betooll,betooll,betooll
620,chandra_nurfahla8,UPP ah moal ngiringan,UPP ah moal ngiringan,upp ah moal ngiringan,"['upp', 'ah', 'moal', 'ngiringan']",upp ah moal ngiringan,upp ah moal ngiringan,upp ah moal ngiringan
621,watashi_wa___dareka,Pabrik garmen dan konveksi lokal dengan bayaran upah murah sangat mengganggu.,Pabrik garmen dan konveksi lokal dengan bayaran upah murah sangat mengganggu,pabrik garmen dan konveksi lokal dengan bayaran upah murah sangat mengganggu,"['pabrik', 'garmen', 'dan', 'konveksi', 'lokal', 'dengan', 'bayaran', 'upah', 'murah', 'sangat', 'mengganggu']",pabrik garmen konveksi lokal bayaran upah murah mengganggu,pabrik garmen konveksi lokal bayaran upah murah mengganggu,pabrik garmen konveksi lokal bayar upah murah ganggu
622,mdwiifm,berak sekebon sawi,berak sekebon sawi,berak sekebon sawi,"['berak', 'sekebon', 'sawi']",berak sekebon sawi,berak sekebon sawi,berak kebon sawi
623,kmplenggg._,njerrrrrrrr,njerr,njerr,['njerr'],njerr,njerr,njerr
624,livetolose,artinya apa bg messi,artinya apa bg messi,artinya apa bg messi,"['artinya', 'apa', 'bg', 'messi']",bg messi,bg messi,bg messi
625,_obege,Ya makanya benerin ketimpangan kekayaan rakyat supaya tidak ada gap poverty dan crazy rich supaya orang juga bisa beli fashion yang ori bukan baju bekas. Lagian thrifting atau baju bekas bisa bikin orang orang lebih merasa sejahtera daripada bapak bapak pejhabhat hehe,Ya makanya benerin ketimpangan kekayaan rakyat supaya tidak ada gap poverty dan crazy rich supaya orang juga bisa beli fashion yang ori bukan baju bekas  Lagian thrifting atau baju bekas bisa bikin orang orang lebih merasa sejahtera daripada bapak bapak pejhabhat hehe,ya makanya benerin ketimpangan kekayaan rakyat supaya tidak ada gap poverty dan crazy rich supaya orang juga bisa beli fashion yang ori bukan baju bekas  lagian thrifting atau baju bekas bisa bikin orang orang lebih merasa sejahtera daripada bapak bapak pejhabhat hehe,"['ya', 'makanya', 'benerin', 'ketimpangan', 'kekayaan', 'rakyat', 'supaya', 'tidak', 'ada', 'gap', 'poverty', 'dan', 'crazy', 'rich', 'supaya', 'orang', 'juga', 'bisa', 'beli', 'fashion', 'yang', 'ori', 'bukan', 'baju', 'bekas', 'lagian', 'thrifting', 'atau', 'baju', 'bekas', 'bisa', 'bikin', 'orang', 'orang', 'lebih', 'merasa', 'sejahtera', 'daripada', 'bapak', 'bapak', 'pejhabhat', 'hehe']",benerin ketimpangan kekayaan rakyat gap poverty crazy rich orang beli fashion ori baju bekas thrifting baju bekas orang orang sejahtera pejhabhat,benerin ketimpangan kekayaan rakyat gap poverty gila rich orang beli fashion original baju bekas thrifting baju bekas orang orang sejahtera pejhabhat,benerin timpang kaya rakyat gap poverty gila rich orang beli fashion original baju bekas thrifting baju bekas orang orang sejahtera pejhabhat
627,shopaholic.pwt,"jgn mematikan masyarakat yg jualan thrift sih, coba brand-brand mall dari luar kek h&m uniqlo zara cotton on pull & bear dll jgn diijinin masuk ke indo",jgn mematikan masyarakat yg jualan thrift sih  coba brand brand mall dari luar kek  uniqlo zara cotton on pull  bear dll jgn diijinin masuk ke indo,jgn mematikan masyarakat yg jualan thrift sih  coba brand brand mall dari luar kek  uniqlo zara cotton on pull  bear dll jgn diijinin masuk ke indo,"['jgn', 'mematikan', 'masyarakat', 'yg', 'jualan', 'thrift', 'sih', 'coba', 'brand', 'brand', 'mall', 'dari', 'luar', 'kek', 'uniqlo', 'zara', 'cotton', 'on', 'pull', 'bear', 'dll', 'jgn', 'diijinin', 'masuk', 'ke', 'indo']",mematikan masyarakat jualan thrift coba brand brand mall kek uniqlo zara cotton on pull bear dll diijinin masuk indo,mematikan masyarakat jualan thrift coba brand brand mall seperti uniqlo zara cotton on pull bear dan lain-lain diijinin masuk indonesia,mati masyarakat jual thrift coba brand brand mall seperti uniqlo zara cotton on pull bear dan lain diijinin masuk indonesia
628,oxarach,analisis nya pas,analisis nya pas,analisis nya pas,"['analisis', 'nya', 'pas']",analisis pas,analisis pas,analisis pas
629,prascetar,"Jangan sok paling lokal pak, keluarga bapak aja masih make brand luar walaupun bukan hasil thrifting 😂",Jangan sok paling lokal pak  keluarga bapak aja masih make brand luar walaupun bukan hasil thrifting,jangan sok paling lokal pak  keluarga bapak aja masih make brand luar walaupun bukan hasil thrifting,"['jangan', 'sok', 'paling', 'lokal', 'pak', 'keluarga', 'bapak', 'aja', 'masih', 'make', 'brand', 'luar', 'walaupun', 'bukan', 'hasil', 'thrifting']",sok lokal keluarga make brand hasil thrifting,sok lokal keluarga memakai brand hasil thrifting,sok lokal keluarga pakai brand hasil thrifting
630,rizkafala,thrift jgn diapus dong,thrift jgn diapus dong,thrift jgn diapus dong,"['thrift', 'jgn', 'diapus', 'dong']",thrift diapus,thrift diapus,thrift diapus
631,leo_aether,thrift udh jadi habbit,thrift udh jadi habbit,thrift udh jadi habbit,"['thrift', 'udh', 'jadi', 'habbit']",thrift udh habbit,thrift sudah habbit,thrift sudah habbit
632,hoirul_am,"Di p,senen banyak pak.. udah Dari tahun jebot. Cuma skrg buming ny",Di  senen banyak pak  udah Dari tahun jebot  Cuma skrg buming ny,di  senen banyak pak  udah dari tahun jebot  cuma skrg buming ny,"['di', 'senen', 'banyak', 'pak', 'udah', 'dari', 'tahun', 'jebot', 'cuma', 'skrg', 'buming', 'ny']",senen udah jebot skrg buming,senin sudah jebot sekarang buming,senin sudah jebot sekarang buming
633,nurkholiddd_,Tukang parkir juga mengganggu pak,Tukang parkir juga mengganggu pak,tukang parkir juga mengganggu pak,"['tukang', 'parkir', 'juga', 'mengganggu', 'pak']",tukang parkir mengganggu,tukang parkir mengganggu,tukang parkir ganggu
634,ditasantra98,"Setuju, support UMKM",Setuju  support UMKM,setuju  support umkm,"['setuju', 'support', 'umkm']",setuju support umkm,setuju support umkm,tuju support umkm
635,luckyalatas_,Gini aja ngakak an*ir 🤣🤣🤣🤣,Gini aja ngakak an ir,gini aja ngakak an ir,"['gini', 'aja', 'ngakak', 'an', 'ir']",gini ngakak an ir,begini tertawa an ir,begini tertawa an ir
636,bombom_mr,Begitu syulit ...,Begitu syulit,begitu syulit,"['begitu', 'syulit']",syulit,syulit,syulit
637,iqbal_dovandra,Pada berantem dikomen 😂😂😂😂,Pada berantem dikomen,pada berantem dikomen,"['pada', 'berantem', 'dikomen']",berantem dikomen,berantem dikomen,antem dikomen
638,rahmadrzl88,Pakaian bekas kok bangga,Pakaian bekas kok bangga,pakaian bekas kok bangga,"['pakaian', 'bekas', 'kok', 'bangga']",pakaian bekas bangga,pakaian bekas bangga,pakai bekas bangga
639,suryabastian1694,Gapenting,Gapenting,gapenting,['gapenting'],gapenting,gapenting,gapenting
641,josenkkk_,trus gmana pak? masak nongkrong pakai kaos partai. brand lokal juga mahal pak,trus gmana pak  masak nongkrong pakai kaos partai  brand lokal juga mahal pak,trus gmana pak  masak nongkrong pakai kaos partai  brand lokal juga mahal pak,"['trus', 'gmana', 'pak', 'masak', 'nongkrong', 'pakai', 'kaos', 'partai', 'brand', 'lokal', 'juga', 'mahal', 'pak']",trus gmana masak nongkrong pakai kaos partai brand lokal mahal,terus gmana masak nongkrong pakai kaos partai brand lokal mahal,terus gmana masak nongkrong pakai kaos partai brand lokal mahal
642,fruitybonbon,"Garam aja import paaaak. Diurus itu dulu deh.  Beras,  daging,  bawang semua ilmport. Knpa yg menguntungkan rakyat malah diusik,  sedangkan yg merugikan rakyat ga dipikirin",Garam aja import paak  Diurus itu dulu deh  Beras  daging  bawang semua ilmport  Knpa yg menguntungkan rakyat malah diusik  sedangkan yg merugikan rakyat ga dipikirin,garam aja import paak  diurus itu dulu deh  beras  daging  bawang semua ilmport  knpa yg menguntungkan rakyat malah diusik  sedangkan yg merugikan rakyat ga dipikirin,"['garam', 'aja', 'import', 'paak', 'diurus', 'itu', 'dulu', 'deh', 'beras', 'daging', 'bawang', 'semua', 'ilmport', 'knpa', 'yg', 'menguntungkan', 'rakyat', 'malah', 'diusik', 'sedangkan', 'yg', 'merugikan', 'rakyat', 'ga', 'dipikirin']",garam import paak diurus deh beras daging bawang ilmport knpa menguntungkan rakyat diusik merugikan rakyat dipikirin,garam import paak diurus deh beras daging bawang ilmport kenapa menguntungkan rakyat diusik merugikan rakyat dipikirin,garam import paak urus deh beras daging bawang ilmport kenapa untung rakyat usik rugi rakyat dipikirin
643,yoolooo234,Ya kalo ga mau menggagu naikin kualitas dalam negeri,Ya kalo ga mau menggagu naikin kualitas dalam negeri,ya kalo ga mau menggagu naikin kualitas dalam negeri,"['ya', 'kalo', 'ga', 'mau', 'menggagu', 'naikin', 'kualitas', 'dalam', 'negeri']",menggagu naikin kualitas negeri,menggagu naikin kualitas negeri,gagu naikin kualitas negeri
644,mr.sternn,jngn lupa bagi bagi baju partai nya ya pak .,jngn lupa bagi bagi baju partai nya ya pak,jngn lupa bagi bagi baju partai nya ya pak,"['jngn', 'lupa', 'bagi', 'bagi', 'baju', 'partai', 'nya', 'ya', 'pak']",jngn lupa baju partai,jngn lupa baju partai,jngn lupa baju partai
645,ikballjust,Kaos partai,Kaos partai,kaos partai,"['kaos', 'partai']",kaos partai,kaos partai,kaos partai
646,qxlr,sudah sudah rezeki kita masing masing uda diatur ama yang diatas,sudah sudah rezeki kita masing masing uda diatur ama yang diatas,sudah sudah rezeki kita masing masing uda diatur ama yang diatas,"['sudah', 'sudah', 'rezeki', 'kita', 'masing', 'masing', 'uda', 'diatur', 'ama', 'yang', 'diatas']",rezeki uda diatur ama diatas,rezeki sudah diatur sama diatas,rezeki sudah atur sama atas
647,zhdncst_,Banteng merah jaya jaya jaya,Banteng merah jaya jaya jaya,banteng merah jaya jaya jaya,"['banteng', 'merah', 'jaya', 'jaya', 'jaya']",banteng merah jaya jaya jaya,banteng merah jaya jaya jaya,banteng merah jaya jaya jaya
648,risnajuli_,Betul se x Pk presiden,Betul se Pk presiden,betul se pk presiden,"['betul', 'se', 'pk', 'presiden']",pk presiden,pakai presiden,pakai presiden
650,lutfie809,Tim pake kaos 30 ribu cekk 😂😂😂,Tim pake kaos ribu cekk,tim pake kaos ribu cekk,"['tim', 'pake', 'kaos', 'ribu', 'cekk']",tim pake kaos ribu cekk,tim pakai kaos ribu cekk,tim pakai kaos ribu cekk
651,nanaayu1,Halaaaah,Halaah,halaah,['halaah'],halaah,halaah,halaah
652,davafredo,belum juga ke pasar baru su asu @maulnryan,belum juga ke pasar baru su asu,belum juga ke pasar baru su asu,"['belum', 'juga', 'ke', 'pasar', 'baru', 'su', 'asu']",pasar su asu,pasar su asu,pasar su asu
653,aanhdn,yg beli baju pas lebaran doang cukup nyimak,yg beli baju pas lebaran doang cukup nyimak,yg beli baju pas lebaran doang cukup nyimak,"['yg', 'beli', 'baju', 'pas', 'lebaran', 'doang', 'cukup', 'nyimak']",beli baju pas lebaran doang nyimak,beli baju pas lebaran saja nyimak,beli baju pas lebaran saja nyimak
654,dentnis,300M lenyap,lenyap,lenyap,['lenyap'],lenyap,lenyap,lenyap
657,milaprstya,harus cinta produk sendiri ❤️,harus cinta produk sendiri,harus cinta produk sendiri,"['harus', 'cinta', 'produk', 'sendiri']",cinta produk,cinta produk,cinta produk
658,rianhdyts,Kalo bayar cukainya gede mah gak bayar cukainya gede mah tidak mngganggu kali bos,Kalo bayar cukainya gede mah gak bayar cukainya gede mah tidak mngganggu kali bos,kalo bayar cukainya gede mah gak bayar cukainya gede mah tidak mngganggu kali bos,"['kalo', 'bayar', 'cukainya', 'gede', 'mah', 'gak', 'bayar', 'cukainya', 'gede', 'mah', 'tidak', 'mngganggu', 'kali', 'bos']",bayar cukainya gede mah bayar cukainya gede mah mngganggu kali bos,bayar cukainya besar mah bayar cukainya besar mah mngganggu kali bos,bayar cukai besar mah bayar cukai besar mah mngganggu kali bos
659,zulvisuals,wduh,wduh,wduh,['wduh'],wduh,wduh,wduh
660,_.vrinn,"Pake Kaos semen tiga roda lebih aman di jamin no bocor""",Pake Kaos semen tiga roda lebih aman di jamin no bocor,pake kaos semen tiga roda lebih aman di jamin no bocor,"['pake', 'kaos', 'semen', 'tiga', 'roda', 'lebih', 'aman', 'di', 'jamin', 'no', 'bocor']",pake kaos semen roda aman jamin no bocor,pakai kaos semen roda aman jamin nomor bocor,pakai kaos semen roda aman jamin nomor bocor
661,cindyshrdi,"Selain budaya thrifting, PO Bangkok/ china, seliweran banget, memperkaya negara laen 😄",Selain budaya thrifting  PO Bangkok  china  seliweran banget  memperkaya negara laen,selain budaya thrifting  po bangkok  china  seliweran banget  memperkaya negara laen,"['selain', 'budaya', 'thrifting', 'po', 'bangkok', 'china', 'seliweran', 'banget', 'memperkaya', 'negara', 'laen']",budaya thrifting po bangkok china seliweran banget memperkaya negara laen,budaya thrifting po bangkok china seliweran banget memperkaya negara lain,budaya thrifting po bangkok china seliwer banget kaya negara lain
662,hazrqd,"yaudah tutup aja pelabuhan ball di Batam dan tanah Abang, HABISIN toko yg nyediain ball item trift, niscaya bakalan byk rakyat yg jadi kesel karena diginiin",yaudah tutup aja pelabuhan ball di Batam dan tanah Abang  HABISIN toko yg nyediain ball item trift  niscaya bakalan byk rakyat yg jadi kesel karena diginiin,yaudah tutup aja pelabuhan ball di batam dan tanah abang  habisin toko yg nyediain ball item trift  niscaya bakalan byk rakyat yg jadi kesel karena diginiin,"['yaudah', 'tutup', 'aja', 'pelabuhan', 'ball', 'di', 'batam', 'dan', 'tanah', 'abang', 'habisin', 'toko', 'yg', 'nyediain', 'ball', 'item', 'trift', 'niscaya', 'bakalan', 'byk', 'rakyat', 'yg', 'jadi', 'kesel', 'karena', 'diginiin']",yaudah tutup pelabuhan ball batam tanah abang habisin toko nyediain ball item trift niscaya byk rakyat kesel diginiin,ya sudah tutup pelabuhan ball batam tanah abang habisin toko nyediain ball item trift niscaya banyak rakyat kesel diginiin,ya sudah tutup labuh ball batam tanah abang habisin toko nyediain ball item trift niscaya banyak rakyat kesel diginiin
663,iamarshvn,"Kocak ganggu nya gimana kali, hadeh rezeki udah punya masing2 masih aja nyenggol usaha orang, harus nya Lo Lo orang yang punya brand sendiri, punya merek sendiri, Lo bisa lebih berkarya dan lebih dari orang yang jual barang second, ciri2 orang gak punya kreatifitas yah begitu, mangkanya kalo usaha itu jangan mikir CUAN NYA MULU, tapi Lo pikirin tuh gimana cara nya brand lu bisa terus bergerak dan berkembang jauh ke depan, hadeh bisa nya cuma ngeluh, orang usaha jualan second di kritik, KACAU LO PUTUSIN REZEKI ORANG LAIN AJA CENGENG WOY!!!",Kocak ganggu nya gimana kali  hadeh rezeki udah punya masing masih aja nyenggol usaha orang  harus nya Lo Lo orang yang punya brand sendiri  punya merek sendiri  Lo bisa lebih berkarya dan lebih dari orang yang jual barang second  ciri orang gak punya kreatifitas yah begitu  mangkanya kalo usaha itu jangan mikir CUAN NYA MULU  tapi Lo pikirin tuh gimana cara nya brand lu bisa terus bergerak dan berkembang jauh ke depan  hadeh bisa nya cuma ngeluh  orang usaha jualan second di kritik  KACAU LO PUTUSIN REZEKI ORANG LAIN AJA CENGENG WOY,kocak ganggu nya gimana kali  hadeh rezeki udah punya masing masih aja nyenggol usaha orang  harus nya lo lo orang yang punya brand sendiri  punya merek sendiri  lo bisa lebih berkarya dan lebih dari orang yang jual barang second  ciri orang gak punya kreatifitas yah begitu  mangkanya kalo usaha itu jangan mikir cuan nya mulu  tapi lo pikirin tuh gimana cara nya brand lu bisa terus bergerak dan berkembang jauh ke depan  hadeh bisa nya cuma ngeluh  orang usaha jualan second di kritik  kacau lo putusin rezeki orang lain aja cengeng woy,"['kocak', 'ganggu', 'nya', 'gimana', 'kali', 'hadeh', 'rezeki', 'udah', 'punya', 'masing', 'masih', 'aja', 'nyenggol', 'usaha', 'orang', 'harus', 'nya', 'lo', 'lo', 'orang', 'yang', 'punya', 'brand', 'sendiri', 'punya', 'merek', 'sendiri', 'lo', 'bisa', 'lebih', 'berkarya', 'dan', 'lebih', 'dari', 'orang', 'yang', 'jual', 'barang', 'second', 'ciri', 'orang', 'gak', 'punya', 'kreatifitas', 'yah', 'begitu', 'mangkanya', 'kalo', 'usaha', 'itu', 'jangan', 'mikir', 'cuan', 'nya', 'mulu', 'tapi', 'lo', 'pikirin', 'tuh', 'gimana', 'cara', 'nya', 'brand', 'lu', 'bisa', 'terus', 'bergerak', 'dan', 'berkembang', 'jauh', 'ke', 'depan', 'hadeh', 'bisa', 'nya', 'cuma', 'ngeluh', 'orang', 'usaha', 'jualan', 'second', 'di', 'kritik', 'kacau', 'lo', 'putusin', 'rezeki', 'orang', 'lain', 'aja', 'cengeng', 'woy']",kocak ganggu gimana kali hadeh rezeki udah nyenggol usaha orang lo lo orang brand merek lo berkarya orang jual barang second ciri orang kreatifitas mangkanya usaha mikir cuan mulu lo pikirin gimana brand lu bergerak berkembang hadeh ngeluh orang usaha jualan second kritik kacau lo putusin rezeki orang cengeng woy,kocak ganggu bagaimana kali hadeh rezeki sudah nyenggol usaha orang kamu kamu orang brand merek kamu berkarya orang jual barang second ciri orang kreativitas makanya usaha berfikir cuan mulu kamu pikirin bagaimana brand kamu bergerak berkembang hadeh mengeluh orang usaha jualan second kritik kacau kamu putusin rezeki orang cengeng woy,kocak ganggu bagaimana kali hadeh rezeki sudah nyenggol usaha orang kamu kamu orang brand merek kamu karya orang jual barang second ciri orang kreativitas makanya usaha berfikir cuan mulu kamu pikirin bagaimana brand kamu gerak kembang hadeh keluh orang usaha jual second kritik kacau kamu putusin rezeki orang cengeng woy
